stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,15,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,6,0,0,1,39,1,1,2,1,8,6,2,0,11,12,0,0,0,0,0
 24-34,0.82,0,5.75,0.82,0,7.39,0,0,0,0.82,0,0,0,0.82,0,0,0,0,7.39,0.82,0.82,1.64,130.52,1.64,2.46,1.64,0,7.39,0,0,0,1.64,24.63,0,0,0,0,0.82
 36-46,0,0,0.81,0.81,0,15.31,0,0,0,5.64,0.81,0,1.61,0,0,0.81,0,0,4.83,0,0,2.42,196.58,0.81,2.42,0.81,0,4.83,0,0,0,0,41.89,0,0,2.42,0,0.81
 48-58,0,0,1.15,0.57,0,27.54,0.57,0,0,3.44,1.15,0,0.57,0.57,0,0,0.57,0,9.18,0,0.57,1.15,135.99,0.57,1.15,1.72,0,1.15,0,0,0,0,25.25,0,0,0.57,0,0
 60-70,0,0,0,0,0,61.84,0,0,1.96,11.78,0,0,0,0,0,0.98,0,0,21.59,0.98,0.98,3.93,279.73,1.96,2.94,0,0,4.91,0,0,0,0,31.41,0.98,0,0,0,0
 72-82,1.96,0,7.85,2.94,0,50.06,0,0,0,4.91,2.94,0.98,1.96,0,0,0,0,0,19.63,0,0.98,2.94,95.22,0,0.98,1.96,0,7.85,0,0,0.98,0,5.89,0,0,0.98,0.98,0
 84-94,0,0,4.25,0,1.06,53.1,0,2.12,3.19,8.5,1.06,0,0,2.12,0,1.06,1.06,0,12.74,0,1.06,2.12,56.29,0,3.19,5.31,0,11.68,0,0,0,0,9.56,2.12,2.12,1.06,0,0
 96-106,0,0,3.28,3.28,0,21.86,0,0,0,9.84,1.09,0,0,0,0,2.19,1.09,1.09,7.65,1.09,0,3.28,37.16,0,4.37,2.19,0,12.02,0,0,0,0,1.09,1.09,1.09,1.09,0,0
108-118,2.3,0,3.83,1.53,1.53,28.34,0,0,1.53,7.66,3.06,0,2.3,1.53,1.53,2.3,1.53,0,16.09,0.77,0,3.83,63.57,0.77,2.3,3.83,0,11.49,0,0,0,0,1.53,0.77,0,1.53,0,0
120,0,0,5.88,1.96,1.96,21.56,0,0,3.92,3.92,0,0,5.88,0,0,0,0,0,9.8,0,1.96,0,31.36,0,1.96,7.84,0,15.68,0,1.96,0,0,1.96,0,0,3.92,0,0
