stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,hatching.gland,heart,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,0,5.26,0,0,0,13.14,2.63,0,0,7.89,0,0,0,0
 10-12,0,0,3.15,0,6.29,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0,2,3,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0.82,0,19.7,0,0,0.82,0,0,4.93,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,0.81,0,29,0,0,0,0,0,6.45,0.81,0
 48-58,0,0,0,0,4.02,0.57,0.57,0,0,0.57,1.15,0,28.12,0,0,0,0,0,3.44,0,0
 60-70,0,0,0,0,9.82,0,0.98,0,0,0,1.96,0,38.28,0,0,0,0,0,7.85,0,0
 72-82,0,0,0,0,8.83,0,1.96,0,0,0,3.93,0,22.58,0,0,0,0,0,3.93,0,0
 84-94,0,0,0,1.06,6.37,0,1.06,0,0,0,2.12,0,10.62,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,9.84,0,0,0,0,0,1.09,0,9.84,0,2.19,0,0,0,0,0,1.09
108-118,0,0,0,0,3.06,0,1.53,0,0,0.77,1.53,0.77,8.43,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,1.96,0,0,0,1.96,0,7.84,0,0,0,0,0,1.96,0,0
