stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,86.19,0,0,1.64,10.67,0,0,0,0.82,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,75.73,0,0,1.61,20.14,0,0,0,2.42,0,0,0,0,0,0,0,0,8.06,0.81,0,0.81,0,0.81,0,1.61,0,0,0,0
 48-58,0,0,0,78.61,0,0,2.87,31.56,0.57,0,2.3,0.57,0,0,0,0,2.3,0,0,0,7.46,0.57,0,0,0,0,0,1.72,0,0,0,0.57
 60-70,0,0,0,107.97,0,0,3.93,35.33,2.94,0,0,2.94,0,0,0.98,0,1.96,1.96,0,0,5.89,1.96,0,0,0,0,0.98,1.96,0,0.98,0,0
 72-82,0,0,0.98,85.4,0,0,0.98,38.28,0,0,0.98,1.96,0,0,0,0.98,1.96,1.96,1.96,0,3.93,1.96,0.98,0,0,0.98,0,0,0,0.98,1.96,0
 84-94,0,0,0,237.9,0,0,4.25,72.22,2.12,0,0,6.37,1.06,0,0,0,0,2.12,0,0,1.06,6.37,1.06,0,0,1.06,0,0,1.06,0,1.06,0
 96-106,0,1.09,0,91.8,0,0,1.09,27.32,2.19,3.28,0,5.46,2.19,0,0,0,4.37,0,0,1.09,4.37,0,2.19,0,0,1.09,0,0,1.09,0,1.09,0
108-118,0,0,0,120.26,0,1.53,0,44.43,1.53,3.06,0,2.3,1.53,0.77,0,0,1.53,0,0,0,1.53,1.53,3.06,0,0,0.77,0,0,0.77,0,1.53,0
120,0,0,0,97.99,1.96,0,0,21.56,3.92,3.92,1.96,11.76,0,0,0,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0
