stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0,0,0,11.49,0,9.03,35.3,0.82,0.82,0,0,0,1.64,0.82,1.64,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,12.89,0,8.06,82.98,0.81,0,0,0,0,0,0,8.06,0,0.81,0
 48-58,0,0,0,0,0,7.46,1.15,1.15,5.16,1.15,0,0,0,0,0,6.89,0,4.02,114.19,0,0,0,0,0,0.57,0,9.18,0,0,0
 60-70,0,1.96,0.98,0,0,5.89,0.98,0,7.85,0,0,0.98,0,0,0,5.89,0,0.98,198.27,0.98,0.98,0.98,0,0,0.98,0,19.63,0,1.96,0
 72-82,0,0,0.98,0.98,0,34.36,0,3.93,10.8,1.96,0,0.98,0,0,0,9.82,0.98,0.98,235.6,0,0.98,1.96,0,0,0,0,18.65,0.98,0.98,3.93
 84-94,0,0,3.19,0,0,36.11,0,0,10.62,0,2.12,0,1.06,1.06,0,10.62,1.06,2.12,110.45,0,0,4.25,0,0,0,0,6.37,0,0,0
 96-106,0,1.09,2.19,0,0,15.3,2.19,0,7.65,1.09,1.09,0,1.09,0,2.19,6.56,1.09,1.09,100.54,0,0,6.56,0,0,0,0,3.28,1.09,0,0
108-118,0,0.77,2.3,0,0,20.68,0,0.77,4.6,0,0,0,0,0,2.3,3.83,2.3,0,106.47,0,0,6.13,0,0.77,0,0,0.77,0,0,0.77
120,0,1.96,0,0,1.96,9.8,0,1.96,17.64,0,0,0,0,0,0,9.8,0,1.96,168.54,0,0,1.96,0,0,0,0,1.96,0,0,1.96
