stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,239.06,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,30.65,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,18.4,0,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,139.32,10.51,0,0,70.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,12.59,0,0,0,0,6.29,0,0,0,0,0,0,0,0,103.85,9.44,0,0,110.14,0,0,3.15,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,0,28,4,0,4,0,0,4,3,0,0,0,0,0,5,0,0,6,54,14,0,2,28,0,4,20,0,0,11,35,0,2,0,0
 24-34,0,0,0,9.85,1.64,0,4.1,0.82,0,2.46,0.82,0,0.82,0,0,0,9.03,0,0,5.75,26.27,0,0,0.82,0,0,4.93,0,0.82,0,4.1,12.31,0,6.57,0,0
 36-46,0,0,0,0,0,0,10.47,0,0,0.81,0,0,0,0,0,0,3.22,0,0,1.61,16.11,0,0.81,0.81,0,0,9.67,0,0,0,0,3.22,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,5.16,0,1.15,0.57,0.57,0,0,0,0,0.57,8.03,0,0.57,3.44,10.33,0,0,0,0,0,2.87,0,0,0.57,0,2.3,0,2.3,0,0
 60-70,0,0,0,0.98,0,0,1.96,0.98,0.98,0,0,0,0.98,0,0,0,3.93,0,0.98,1.96,6.87,2.94,0,0,0,0.98,0.98,0,0,0.98,0,2.94,0,1.96,0,0
 72-82,0,0,0,2.94,1.96,0,2.94,0.98,0.98,1.96,0.98,0,0,0.98,0,0,23.56,0,0.98,0.98,16.69,0,0,1.96,0,0,1.96,0,0,0,0,0.98,0.98,1.96,0,0
 84-94,0,0,0,3.19,0,0,1.06,2.12,1.06,0,2.12,0,0,1.06,0,0,8.5,0,1.06,2.12,7.43,0,2.12,1.06,0,0,13.81,0,1.06,1.06,0,1.06,1.06,3.19,0,1.06
 96-106,0,0,0,3.28,2.19,0,1.09,1.09,1.09,0,1.09,0,1.09,0,0,0,18.58,2.19,1.09,2.19,8.74,0,1.09,0,0,0,5.46,0,1.09,0,0,1.09,0,6.56,1.09,0
108-118,0,0,0,3.06,0,0.77,0,3.06,2.3,2.3,1.53,0,0,0.77,0.77,0.77,11.49,0.77,0,1.53,6.13,0,0.77,0,0,1.53,6.13,0,1.53,1.53,0,0,0,4.6,0,0.77
120,0,0,0,13.72,0,0,0,0,3.92,3.92,3.92,0,0,0,0,0,5.88,1.96,0,1.96,11.76,0,0,0,0,0,9.8,0,1.96,0,0,0,3.92,3.92,0,1.96
