stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,471.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0
  7-9,0,47.32,5.26,0,0,131.44,0,0,0,5.26,0,0,0,0,0,0,1088.29,2.63,0,144.58,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,6.29,0,0,154.2,0,0,0,0,0,0,0,0,0,0,1085.7,9.44,0,100.7,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,1,0,13,0,0,4,0,0,0,0,2,0,1,493,0,0,0,0,0,0,0,1,96,0,0,0
 24-34,0,0,0,0.82,0,15.6,0,0,15.6,0,0,0,0,2.46,0,0,962.04,0,0,0,0,0.82,0,0.82,0,173.2,0,0,4.1
 36-46,0,0,0,0,0,10.47,0,0,91.85,0,0,0,0,3.22,0,0,570.41,0,0,0,0,0.81,0,0.81,0,131.32,0,0,1.61
 48-58,0,0,0,0,0,9.75,0.57,0,176.16,0,0,0,0,0.57,0,1.15,281.74,0,0.57,0,0,0,0.57,0,0,125.66,0.57,0,0
 60-70,0,0,0,0,0,2.94,0,0,146.25,0,0,0,0,0.98,0,1.96,59.87,0,0,0,0,0,0,0,0,28.46,0,0,0
 72-82,0,0,0,0.98,0,12.76,0,0,247.38,0,0,0,0,5.89,0,0,90.31,0,0.98,0,0,0,0,0,0,6.87,0,0,0
 84-94,0,0,0,0,0,15.93,0,0,100.89,0,0,1.06,0,3.19,1.06,0,59.47,0,2.12,0,1.06,1.06,0,0,0,7.43,0,1.06,1.06
 96-106,0,0,0,0,0,9.84,0,0,102.73,0,0,0,1.09,1.09,0,0,51.36,0,0,0,0,0,0,0,0,5.46,0,0,0
108-118,0,0,0,0,0.77,3.06,0,0.77,104.17,0,1.53,0,1.53,0,0.77,0,69.7,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,7.84,0,0,86.23,0,0,0,1.96,1.96,0,0,37.24,0,0,0,0,0,0,0,0,0,0,0,0
