stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,1,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,4.1,0,0,0,2.46,0,1.64,0,0.82
 36-46,0,0,0,3.22,0,0,0.81,0.81,0,0,0,0,0,1.61,3.22,0,0,0,0.81,0,2.42,0,0
 48-58,0,0.57,0,2.87,0,0,0,0,0,0,0,1.72,0,0.57,1.72,0,0,1.15,0,0,1.72,0,0
 60-70,0,0.98,0,4.91,0,0.98,0,0,1.96,0.98,0,3.93,0,0.98,7.85,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,7.85,0,0,0.98,0,0.98,0,0,2.94,0,0,3.93,0,0.98,4.91,1.96,0,0.98,0,0
 84-94,1.06,1.06,0,6.37,1.06,0,1.06,2.12,1.06,1.06,0,2.12,0,0,2.12,0,0,24.43,1.06,0,0,1.06,0
 96-106,1.09,3.28,0,5.46,0,0,3.28,0,3.28,0,0,1.09,1.09,0,4.37,0,0,69.94,3.28,0,0,0,1.09
108-118,0.77,9.96,0,10.72,0,0,0.77,1.53,2.3,0,0.77,3.06,0.77,1.53,6.89,0,2.3,50.55,3.06,0,0,0,0
120,0,5.88,0,1.96,0,0,0,0,1.96,0,0,1.96,1.96,1.96,13.72,0,0,66.63,3.92,0,0,0,0
