stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,17,2,0,0,0,0,0,2,0,2,10,0,0,0,0,0
 24-34,0,0,0.82,0,2.46,0.82,4.93,0,0,0,0,0.82,0.82,1.64,1.64,0,0.82,0,0,16.42,0,0,4.93,168.28,2.46,4.1,9.03,0,0,0,0,0,0,58.28,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0.81,11.28,0,0,9.67,0,1.61,0,0.81,0,0,0,0,0,8.06,0,0.81,1.61,416.53,0,4.83,4.83,0,0,0.81,0,0,0,91.04,0,0,0,0,0
 48-58,0,0,0,0,0.57,1.72,39.02,0,0,37.87,0,1.15,0,1.15,0,0,2.87,0,0,16.64,1.15,0.57,1.15,542.82,0.57,5.74,10.9,0,0,1.15,0,0,0,107.3,0,0,0.57,0,0.57
 60-70,0,0,0,0,5.89,0.98,84.41,0,0.98,56.93,0.98,3.93,0,0.98,0,0,9.82,0,0,17.67,0.98,0.98,3.93,791.11,0.98,1.96,24.54,0,0,0,0,0,0,92.26,0,0,0.98,0,0.98
 72-82,0,0,0.98,0,4.91,1.96,107,0,1.96,65.77,1.96,0.98,0,9.82,0,0.98,19.63,0.98,0.98,36.32,1.96,5.89,0.98,706.8,0,8.83,49.08,0,0.98,0.98,0,0.98,0,65.77,0,0,1.96,1.96,0
 84-94,0,0,0,0,2.12,4.25,87.09,0,2.12,55.23,2.12,4.25,0,10.62,1.06,0,31.86,0,0,26.55,2.12,2.12,0,334.54,1.06,4.25,71.16,0,1.06,2.12,0,0,0,33.99,0,5.31,1.06,1.06,1.06
 96-106,0,0,0,0,3.28,1.09,65.57,2.19,0,51.36,6.56,1.09,0,7.65,0,1.09,49.18,0,0,13.11,2.19,1.09,0,312.55,0,5.46,84.15,0,0,2.19,0,0,0,19.67,0,1.09,3.28,1.09,0
108-118,0,0,0.77,0.77,6.89,0,49.79,0,1.53,50.55,4.6,0,0,6.13,0,4.6,30.64,0,0,16.85,0.77,0,0.77,343.15,0,2.3,57.45,0,0.77,0.77,0,0.77,0,11.49,2.3,0.77,1.53,0,0
120,0,0,0,0,3.92,0,70.55,0,0,58.79,1.96,0,0,5.88,0,1.96,39.2,0,0,27.44,0,0,3.92,464.47,1.96,5.88,70.55,0,0,5.88,0,0,0,25.48,0,0,0,1.96,0
