stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,3,133,0,2,0,0,0,0,0,5,0,0,0,0,0,0,27,1,0,24,22,0,0,0,3,0,0,24,0,267,910,27,0,0,0,0
 24-34,0.82,0,0.82,117.38,0.82,9.85,167.45,0.82,2.46,2.46,0.82,7.39,0.82,0.82,0,0.82,0.82,0,40.22,0.82,1.64,45.15,99.32,0.82,3.28,0.82,0.82,0,5.75,0.82,0.82,164.17,455.58,41.04,0,3.28,0,0
 36-46,0,0,0,20.95,0,5.64,265.07,0.81,0.81,2.42,0,2.42,0,0,0,0,0.81,0,21.75,0,0.81,31.42,67.68,0.81,0,1.61,0,0,3.22,0.81,0.81,91.04,20.95,23.36,0,0,0,0.81
 48-58,0,0,0,5.16,1.72,11.48,195.09,0.57,0.57,3.44,0,0.57,0,0,0,0.57,0.57,0.57,11.48,0.57,0,26.97,52.22,0,0,0,0,0,1.15,0,0,49.92,0,18.94,0,1.15,0,1.72
 60-70,0,0,0,0.98,0,7.85,96.19,0,0,2.94,0,0,0,0,0.98,0,0,0,4.91,0,1.96,17.67,36.32,0,0,0,0.98,0,0.98,0,0,25.52,0,3.93,0.98,0.98,0.98,3.93
 72-82,0,0,0,0.98,0,4.91,34.36,0,0.98,0,0,0,0,0,0,0,0,0,10.8,0,0,10.8,15.71,0,0,0.98,0,0,0.98,0,0,15.71,0,3.93,0,0.98,0,0.98
 84-94,0,0,0,1.06,0,5.31,56.29,1.06,0,1.06,0,0,1.06,0,0,0,0,0,7.43,0,0,11.68,9.56,0,0,0,0,0,2.12,0,0,27.61,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,7.65,34.97,0,0,1.09,0,1.09,0,0,0,0,1.09,0,4.37,0,0,8.74,7.65,0,0,0,1.09,0,3.28,0,0,31.69,0,1.09,1.09,1.09,0,1.09
108-118,0,0.77,0,2.3,0,3.06,30.64,0.77,0,0,0,0,1.53,0,0,0,0,0,3.83,0,0,9.19,6.13,0,0,0,0,0.77,1.53,0,0,19.92,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,25.48,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,17.64,5.88,0,0,0,0,0,0,1.96,0,7.84,0,0,0,0,0,1.96
