stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0
 24-34,0,0,0,1.64,0.82,0,0,0,0,0.82,0,0,0,0,0,5.75,0,0,0.82,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0,0.81,0,0,4.03,0.81,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0.57,2.87,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,3.93,0,0,1.96,0,0,0.98,0,0,4.91,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,2.12,0,0,2.12,0,1.06,1.06,1.06,0,1.06,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,0,3.28,2.19,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,1.53,0,0.77,0.77,0.77,1.53,0,0,0.77,0,0,4.6,0,0,0,0,0.77,0.77,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0
