stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0,0,4.1,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,1.61,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0.57,0,0,0,2.3,0,1.72,0,0,0,0.57,0,2.87,0,0,0,0,0
 60-70,0,0,0,140.36,0,0,0,1.96,0,0,0,0,0,0.98,0.98,0,0.98,2.94,0,1.96,0,0,0,0,0,10.8,0,0,0,0,0
 72-82,2.94,0,0,581.14,0.98,0,1.96,24.54,0,0,0.98,0.98,0,0.98,6.87,0,0,38.28,0,0.98,0,0,0,0,0,13.74,0,0.98,0.98,0.98,0
 84-94,0,1.06,0,293.12,0,0,0,16.99,0,0,0,0,0,1.06,5.31,3.19,1.06,24.43,0,2.12,0,0,1.06,1.06,0,5.31,0,0,1.06,0,0
 96-106,5.46,1.09,1.09,410.91,0,0,0,21.86,2.19,1.09,0,1.09,1.09,1.09,13.11,0,2.19,31.69,0,1.09,0,0,2.19,5.46,0,4.37,0,0,0,1.09,1.09
108-118,3.06,0,0,320.94,0.77,0.77,0.77,13.02,0.77,3.06,0,0.77,0.77,0.77,13.79,0,1.53,21.45,2.3,2.3,0.77,0,0,1.53,0,0,0.77,0,0,0.77,0.77
120,0,0,0,184.22,1.96,0,1.96,15.68,0,1.96,0,1.96,1.96,0,7.84,0,1.96,35.28,0,1.96,0,0,0,1.96,0,1.96,0,0,0,1.96,0
