stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,1.64,0,0,0,0,0,1.64,0,0,0.82,0,0.82,2.46,0,0,0,15.6,0,1.64,0,0.82,0,4.1,0,1.64,0,0.82,3.28,0,0.82
 36-46,0,0,0,0,4.83,0,0,0.81,0,0,0,0,0,2.42,0,0,0.81,15.31,0,0,0.81,0,0,0,0.81,0,0.81,0,4.03,0,0
 48-58,0,0,0,0,5.74,0,0.57,2.3,0,0,0,0.57,0.57,5.74,0,0,0,18.36,0,0,0,0,0,0.57,0,0,0,0,2.87,0,0.57
 60-70,0,0,0.98,0,10.8,0,0,4.91,0,0.98,0,0,0,3.93,0,0,0,22.58,0,0,0,0,0,1.96,0,0.98,0,0,3.93,0,0
 72-82,0,0,1.96,0,10.8,0,0,0.98,0.98,1.96,0,0,0,9.82,0.98,0.98,1.96,16.69,0,0,0,0,0,0,0,0,0,0,0.98,0,1.96
 84-94,0,1.06,1.06,0,6.37,2.12,0,1.06,1.06,2.12,0,1.06,0,5.31,0,0,1.06,14.87,1.06,0,0,0,0,6.37,0,0,0,0,1.06,0,1.06
 96-106,0,4.37,3.28,0,9.84,0,0,2.19,1.09,0,0,0,0,5.46,1.09,3.28,1.09,12.02,0,0,0,0,1.09,3.28,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,4.6,0,0.77,3.06,0.77,3.83,0.77,0,0,6.89,0.77,0,1.53,16.85,0.77,0.77,0,0,0,3.83,0,0,0,0,0,0,0.77
120,0,3.92,3.92,1.96,3.92,0,0,0,3.92,1.96,1.96,0,3.92,3.92,0,0,1.96,11.76,0,0,0,0,0,3.92,0,0,0,0,0,0,0
