stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.4,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.61,31.54,0,0,680.84,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,0,78.67,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,793.04,66.09,0,0,1828.39,0,3.15,0,3.15,173.08,0,3.15,3.15,0,0,0,0
 14-21,1,2,0,6,522,71,7,0,9,0,93,57,0,0,0,1,0,0,0,3,86,1,0,150,179,163,0,2,262,0,56,0,785,28,53,444,1209,0,37,0,0
 24-34,0,0,0,8.21,183.05,6.57,16.42,0,41.04,1.64,157.6,14.78,0,0,0,4.93,0.82,0,2.46,17.24,152.68,4.1,0,263.49,254.47,27.09,2.46,0.82,0,0,105.89,0.82,1.64,8.21,13.95,95.22,1398.74,0,100.14,0,8.21
 36-46,0,0,0,0.81,58.81,0.81,15.31,1.61,39.48,12.89,106.35,5.64,0,0.81,0.81,0,0.81,1.61,3.22,8.86,198.19,1.61,6.45,166.77,186.11,17.72,1.61,0,0,0.81,133.74,0,0.81,3.22,3.22,3.22,1665.32,0,48.34,0,5.64
 48-58,0,0,0,0,43.04,0.57,46.48,0,60.82,9.18,107.88,1.72,0,0.57,0.57,1.15,1.15,4.02,1.15,5.16,207.72,3.44,14.92,115.91,175.58,9.75,1.15,1.72,0,0,130.25,0,0,2.87,0.57,0,1382.3,0.57,35.58,0.57,5.74
 60-70,0,0,0,0,33.37,0.98,24.54,0,49.08,5.89,113.86,2.94,0,0,0,2.94,0,2.94,0,1.96,177.66,2.94,29.45,86.37,82.45,6.87,0,0.98,0,0.98,121.71,0,0,5.89,1.96,0,719.46,6.87,29.45,4.91,3.93
 72-82,0,0,0,0,38.28,2.94,42.21,2.94,58.9,37.3,199.28,9.82,0,0,2.94,0.98,3.93,2.94,0,3.93,172.77,3.93,33.38,100.13,93.26,6.87,0,0.98,0.98,2.94,125.65,0,0,3.93,0.98,0,307.26,23.56,32.39,14.72,6.87
 84-94,0,0,2.12,0,111.51,1.06,48.85,0,105.14,21.24,161.43,10.62,0,1.06,0,1.06,6.37,4.25,1.06,8.5,142.31,6.37,40.36,94.52,65.85,14.87,0,0,0,1.06,382.33,0,0,2.12,2.12,0,190.1,22.3,29.74,24.43,7.43
 96-106,0,0,0,0,95.08,5.46,25.14,1.09,126.77,20.76,145.35,18.58,0,1.09,6.56,3.28,6.56,14.21,2.19,6.56,124.58,7.65,19.67,76.5,62.29,9.84,0,2.19,0,1.09,302.72,0,0,5.46,3.28,0,66.66,15.3,27.32,26.23,3.28
108-118,0,0,0.77,0,72.77,0.77,13.02,2.3,114.13,21.45,112.6,16.85,0,0,0.77,3.06,9.96,5.36,0,3.06,95.75,3.83,17.62,64.34,60.51,10.72,0,0,0,3.83,147.83,0,0,2.3,0,0,41.36,9.96,29.11,12.26,4.6
120,0,0,0,0,58.79,3.92,9.8,0,88.19,5.88,58.79,9.8,0,0,0,1.96,0,1.96,0,0,86.23,0,17.64,64.67,41.16,15.68,0,1.96,0,1.96,158.74,1.96,0,0,1.96,0,29.4,5.88,15.68,9.8,5.88
