stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,0,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,11,1,0,0,0,0,0,0,0,3,0,0
 24-34,0,0,0.82,0,0.82,8.21,0,0,0,0.82,0,0.82,0,6.57,0,1.64,50.07,0,0,0,0,0,1.64,0,0.82,8.21,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,1.61,0,0,0,3.22,0,0.81,19.34,0,0.81,0,0,0,0,0,0,2.42,0.81,0
 48-58,0,0,0,0,0,8.03,0.57,1.15,0,0.57,0.57,0,1.15,2.87,0.57,0.57,12.05,0,0,1.15,0,0,1.72,0,0,2.3,1.72,0
 60-70,0,0,0,0,0.98,7.85,0,0,0,2.94,0,0,0,3.93,1.96,0,20.61,0.98,0,1.96,0,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0,2.94,0,0.98,8.83,0,0,0,0,0.98,0.98,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0,2.12,0,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,0,0,3.28,0,0,0,3.28,1.09,0,0,4.37,0,1.09,4.37,0,0,0,0,0,3.28,0,0,1.09,0,1.09
108-118,0,0,0,0,0,0,0,0.77,0.77,3.06,0,0,0,2.3,0,1.53,3.83,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,15.68,0,0,0,0,0,3.92,0,0,0,0,0
