stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
 14-21,4,0,2,0,5,0,0,0,1,0,0,4,0,0,0,2,1,3,0
 24-34,0.82,0,1.64,1.64,1.64,0,0,0.82,0,0,0,5.75,0.82,0.82,0,0.82,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,8.86,1.61,0,0,0.81,0,1.61,0.81
 48-58,0.57,0,4.59,0,2.3,0,1.15,0.57,0.57,0,0,4.02,2.87,0,0,0,0,3.44,0
 60-70,1.96,0,8.83,4.91,0.98,0,0.98,0,0.98,0.98,0,2.94,0.98,0,0,1.96,0,0,0
 72-82,1.96,0.98,2.94,0.98,4.91,0,0.98,0.98,3.93,0,0,3.93,4.91,0.98,3.93,0,0,2.94,0
 84-94,1.06,0,1.06,3.19,1.06,0,0,1.06,0,0,1.06,2.12,1.06,3.19,4.25,2.12,0,0,0
 96-106,2.19,0,1.09,2.19,1.09,2.19,3.28,0,3.28,0,0,2.19,4.37,1.09,7.65,0,0,0,0
108-118,9.19,0,0.77,6.13,0.77,0,9.96,0.77,1.53,0,0,2.3,3.83,2.3,12.26,0.77,0,0.77,0
120,3.92,0,3.92,1.96,1.96,0,3.92,0,7.84,1.96,0,3.92,0,0,9.8,1.96,0,0,0
