stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0.82,0,0,5.75,0,0,0,0.82,0,0.82,0,0,0
 36-46,0,0,0.81,0,0.81,0.81,1.61,0,0,0,0,0,1.61,0,0.81,8.86,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.72,1.15,0.57,0,5.16,0.57,0.57,0,0,0,1.15,0,0,7.46,0,0.57,1.15,0,0,2.3,0,0,0
 60-70,0,0.98,0.98,0.98,4.91,1.96,4.91,0,0,0,0,0,1.96,0,0.98,3.93,0,0,0,0.98,0,1.96,0,0,0
 72-82,0,0,0,1.96,0.98,0.98,8.83,0,0,1.96,0,0,7.85,0.98,0.98,7.85,0.98,0,0.98,0,0,0.98,0,1.96,0.98
 84-94,0,0,2.12,3.19,3.19,0,2.12,1.06,0,0,0,0,4.25,0,0,4.25,0,0,1.06,0,2.12,0,0,0,0
 96-106,0,0,3.28,3.28,1.09,0,3.28,0,0,1.09,0,0,3.28,1.09,0,1.09,0,0,1.09,0,1.09,1.09,0,0,0
108-118,0,0,2.3,4.6,1.53,0.77,1.53,0,0,0,0.77,0.77,3.83,0,0.77,5.36,0,0.77,0,0,0,0.77,0.77,0,0
120,0,0,1.96,1.96,0,0,3.92,0,0,0,1.96,1.96,0,0,0,5.88,0,0,0,0,0,0,0,1.96,0
