stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,1,1,0,3,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,0,0,0,1.64,0,1.64,2.46,0.82,0,0,0,0,0,0,0,0.82,4.1,0,0.82
 36-46,0,0,0,0.81,2.42,0,0.81,0,0,0.81,0,0,0.81,0,0,5.64,2.42,0,0,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,1.72,0,0.57,0,0.57,0,0,0,3.44,0.57,0,4.02,0.57,0,0,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,2.94,0,3.93,0,0,0,0,0.98,4.91,0,0.98,8.83,1.96,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,3.93,0,1.96,0,0,0,0,0,4.91,0,0,1.96,5.89,0.98,0,0.98,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,3.19,0,1.06,1.06,0,0,0,0,3.19,0,0,6.37,2.12,0,0,1.06,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,2.19,0,2.19,1.09,0,0,0,0,2.19,0,0,1.09,4.37,0,0,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0.77,1.53,0,0,0,2.3,0,2.3,0.77,1.53,2.3,5.36,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0
