stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,10.51,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,6.29,0,0,28.32,0,0,3.15,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,7,2,0,5,0,0,0,2,1,0,0,0,0,0,0,1,0,2,0,1,30,0,1,1,1,0,2,0,0,0,0,3,7,0,0,2,0,0
 24-34,0,0,0,0,1.64,0,0,8.21,0,0,0,5.75,0,0,0,0,2.46,0,0,0,0.82,11.49,0,1.64,88.65,0,1.64,1.64,0,0,0.82,0,0,0,0,0,27.09,0,0,4.93,0,1.64
 36-46,0,0,0,0,2.42,0,0,16.11,0,0,0.81,0.81,0,0,0.81,0,0,0,0,0,0,12.89,0,4.83,125.68,0,3.22,0,0,0.81,1.61,0,0,0.81,0,0,23.36,0,0,4.83,0,3.22
 48-58,0,0,0,0,0.57,0,0,32.71,0.57,0.57,0,6.31,0,0,0.57,1.15,0.57,0.57,0,0,1.15,20.08,0,3.44,104.43,1.15,0,0,0,0,0.57,0,0,0.57,0.57,0,22.38,0,0,2.87,0,0.57
 60-70,0,0,0.98,0,1.96,0,0,54.97,0,0,0,15.7,0,0,0.98,0,0,0,0,0.98,0,19.63,0,1.96,134.47,0.98,0.98,0,0,0,3.93,0,0,0,0,0,10.8,0,0.98,2.94,0,1.96
 72-82,0,0,0.98,0,1.96,1.96,0,38.28,0,0.98,0.98,8.83,0,0,0.98,0,0.98,0,1.96,0,0,34.36,0,2.94,106.02,0,1.96,0,0,0,3.93,0,0,0.98,0,0,7.85,0,0.98,7.85,0,0.98
 84-94,0,0,2.12,0,5.31,2.12,0,38.23,0,0,2.12,15.93,1.06,0,1.06,1.06,1.06,1.06,0,0,0,18.05,2.12,1.06,47.79,0,0,1.06,0,0,4.25,0,0,0,0,0,5.31,0,2.12,8.5,0,2.12
 96-106,0,0,2.19,0,1.09,7.65,0,20.76,0,0,0,15.3,0,0,0,2.19,1.09,1.09,2.19,0,0,24.04,1.09,2.19,45.9,1.09,1.09,0,0,0,5.46,0,0,0,0,0,3.28,0,0,7.65,0,1.09
108-118,0,0,1.53,0,5.36,4.6,0,14.55,0.77,0,0,10.72,3.06,0,1.53,0,0,0.77,0,0,0,22.98,0.77,0.77,52.09,0.77,1.53,1.53,0,0,4.6,0,0,0,0.77,0,2.3,0.77,0,7.66,0.77,0.77
120,0,0,0,0,1.96,5.88,1.96,21.56,0,3.92,0,13.72,1.96,0,0,0,0,0,0,0,0,19.6,0,1.96,48.99,0,1.96,0,0,0,9.8,0,0,1.96,0,0,1.96,0,1.96,7.84,0,0
