stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,gut,hatching.gland,immune,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,0,0,0,26.29,5.26,0,10.51,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,28.32,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0.82,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,1.61,11.28,0
 48-58,0,0,0,0.57,0,0,0,0,0,1.15,0,0,0,0,0,0,0,12.05,0
 60-70,0,0,0,4.91,0,0,0,0,0.98,2.94,0,0,0,0,0,0,0.98,18.65,0
 72-82,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,47.12,0
 84-94,0,0,0,4.25,0,0,0,0,0,1.06,0,0,0,0,0,0,0,45.67,0
 96-106,0,0,1.09,0,1.09,0,0,2.19,4.37,1.09,0,0,0,0,0,0,0,62.29,1.09
108-118,0,0,0,4.6,0,0.77,0,0,1.53,1.53,0,0,0,0,0.77,0,0,58.98,0
120,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,76.43,0
