stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0
 24-34,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0,0.82,0,0,1.64,5.75,0,0,0,0,0,0,0,0,6.57,0,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,2.87,0,1.15,0,0,0,1.72,0.57,0,5.74,0,0,0.57,9.75,0,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,2.94,0,3.93,0,0,0,17.67,0,0,90.3,0,0,0,21.59,0,0,0,0,2.94,0,0,0,0.98,0,0.98,0
 72-82,0,1.96,0,11.78,0,41.23,0,0,0,5.89,0,0,274.87,1.96,0,0,34.36,1.96,0.98,0,0,3.93,0,0,0,4.91,1.96,0.98,0
 84-94,0,3.19,1.06,13.81,0,30.8,0,0,0,5.31,1.06,0,287.81,0,0,2.12,24.43,2.12,0,1.06,0,3.19,1.06,0,0,0,0,1.06,0
 96-106,0,3.28,2.19,9.84,0,39.34,0,1.09,1.09,1.09,2.19,0,224.03,0,0,0,22.95,2.19,0,0,0,7.65,0,0,0,1.09,1.09,0,1.09
108-118,0,6.13,0,11.49,2.3,29.87,0.77,0,0,0.77,0.77,0.77,166.98,0,2.3,0.77,24.51,0.77,0,0,0,7.66,0.77,0.77,0,0.77,0,1.53,0
120,0,9.8,0,3.92,1.96,47.03,0,1.96,0,0,0,0,197.94,0,0,0,31.36,3.92,0,0,0,7.84,0,0,0,0,0,0,0
