stage,axial,blastomeres,erythrocytes,eye,fast_muscle,glial,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,3.15,0,3.15,3.15,0
 14-21,0,0,1,1,0,0,0,7,1,0,0,1,0,1,3
 24-34,0,0,0,0.82,0,0,0,13.95,0,0.82,0,1.64,0,0,3.28
 36-46,0,0,0,0.81,0.81,0,0.81,1.61,0,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,0.57,0,0.57,2.3,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0
