stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,3,7,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,3.28,0.82,0.82,0,0.82,0,0.82,0,55,0.82,0,1.64,0,1.64,7.39,0,2.46,31.19,0,19.7,0,0,0,0,0,0.82,1.64,1.64,9.03,0,0,4.93,0
 36-46,0,0,0,0,0,1.61,0,4.03,5.64,0,0,4.83,0.81,0.81,0.81,16.11,0,0,2.42,0,1.61,1.61,0,0.81,103.13,0,35.45,0,0,0,0,0,0.81,0.81,0,16.11,0,0,2.42,0
 48-58,0,0,0,0,0.57,2.3,0,28.12,6.31,0,0.57,14.92,0,1.15,0,6.89,0,0,1.72,0.57,5.74,0,0.57,2.3,144.6,0,25.82,0,0,0,0.57,0,1.15,2.87,0,23.53,0,0,2.87,0
 60-70,0,0,0,0,0,10.8,0,74.6,3.93,1.96,0.98,92.26,0,1.96,0,7.85,0.98,0,11.78,3.93,21.59,0,0,1.96,280.72,0,28.46,0.98,0,0,0,0,3.93,4.91,0,20.61,0,0.98,2.94,1.96
 72-82,0,0,2.94,0,3.93,19.63,0,109.95,2.94,0.98,0,225.78,15.71,3.93,0.98,16.69,0.98,0.98,33.38,3.93,50.06,0,0,5.89,265.05,0,76.57,0.98,0,1.96,1.96,0,5.89,1.96,0,18.65,0,4.91,7.85,1.96
 84-94,0,0,4.25,0,3.19,24.43,0,201.79,3.19,1.06,1.06,134.88,29.74,1.06,1.06,32.92,3.19,0,104.08,7.43,35.05,0,0,2.12,121.07,0,62.66,1.06,0,0,4.25,1.06,2.12,1.06,0,11.68,0,4.25,4.25,1.06
 96-106,0,0,4.37,0,5.46,28.41,1.09,192.34,12.02,0,0,149.72,62.29,1.09,2.19,18.58,0,3.28,156.28,6.56,43.71,0,2.19,3.28,147.53,0,128.96,1.09,0,2.19,6.56,1.09,4.37,1.09,0,9.84,0,1.09,16.39,1.09
108-118,0,0,0.77,0,6.13,19.15,0,186.89,9.96,0.77,0.77,146.3,45.96,1.53,6.13,18.38,0,0.77,368.43,6.13,34.47,0.77,0.77,5.36,153.96,0.77,77.36,5.36,0,0,0.77,0,2.3,7.66,0,3.83,1.53,2.3,12.26,1.53
120,0,0,1.96,0,11.76,9.8,0,105.83,25.48,3.92,0,141.1,43.12,1.96,13.72,13.72,1.96,1.96,221.46,7.84,29.4,0,1.96,9.8,123.47,0,60.75,0,0,0,0,1.96,1.96,0,0,9.8,0,0,13.72,0
