stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0.82,0.82,0,0,0,0,0.82,0,0,0.82,0,7.39,0,0,0,2.46,0
 36-46,0.81,3.22,0,0.81,0,0.81,0,0,0,1.61,0.81,13.7,0,0,0,2.42,0
 48-58,0.57,1.15,0,0,0,0,0,0.57,0,1.15,0,15.49,0.57,0.57,1.15,2.87,0
 60-70,0.98,8.83,0,0,0,0.98,0,0,0,0.98,0,12.76,0,0,0,0,0
 72-82,0,7.85,0,0.98,0,1.96,0,0.98,0,5.89,0,13.74,0,0,0,1.96,0
 84-94,0,2.12,1.06,0,1.06,0,0,0,1.06,6.37,0,8.5,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,5.46,0,5.46,1.09,0,0,0,0
108-118,0,1.53,0,0,0,0.77,0,0,0,2.3,0,3.83,0,0,0,0,0
120,0,1.96,0,0,0,3.92,0,0,0,1.96,0,3.92,0,0,0,0,1.96
