stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,5.26,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,6.29,0,0,62.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,14,1,1,0,0,0,2,0,0,0,1,0,0,0,6,0,0,8,65,3,0,0,0,0,0,0,2,1,2,4,24,0,0,0,0,0
 24-34,0,0,0.82,14.78,0.82,8.21,0,0,0,4.93,0,0,0,0,2.46,0,1.64,27.91,0,0,9.03,354.61,4.93,0.82,0,0,0.82,0,0,0,0,0,2.46,77.98,0,0,0.82,0,0
 36-46,0,0,0,8.06,0,4.83,0,0.81,0,7.25,0,0,0,0,9.67,0,0,18.53,0,0,5.64,321.46,1.61,0,1.61,0,0,0,0,0,0,0,0,66.06,0,0,0,0,2.42
 48-58,0,0,0,5.74,0,10.9,0,0,1.72,16.64,0,0,0.57,0,4.59,0.57,0,37.3,0,0,5.74,251.9,0,0.57,0,0,0,1.15,0,0,0,0,0,47.05,0,0,1.72,0,4.02
 60-70,0,0,0,1.96,0,12.76,0.98,0,0.98,24.54,0,0,0,0,0.98,0,0,42.21,0.98,0,2.94,355.31,0.98,0,0,0,0.98,0.98,0,0,0,0.98,0,37.3,0,0,0.98,0,3.93
 72-82,0,0,0,1.96,1.96,24.54,0,0,2.94,23.56,0,0.98,0,0,0.98,0.98,0.98,69.7,0,2.94,4.91,291.55,0,0,0,0,0,0,0,0,0,0,0,20.61,0.98,0,5.89,0,3.93
 84-94,0,0,0,2.12,0,29.74,0,1.06,1.06,8.5,0,0,0,0,2.12,0,0,36.11,0,1.06,2.12,148.69,0,0,0,0,0,1.06,0,0,0,0,0,10.62,0,1.06,1.06,1.06,10.62
 96-106,0,0,0,3.28,0,15.3,0,0,0,14.21,1.09,0,0,0,1.09,0,0,29.51,0,1.09,1.09,119.12,0,0,0,0,1.09,0,0,0,0,0,0,5.46,0,1.09,1.09,2.19,10.93
108-118,0,0,0,2.3,0.77,9.19,0,0,0,13.79,0,1.53,0,0,0.77,0,0.77,32.17,0,0,1.53,150.89,0,0,0.77,0,0.77,0.77,0,0,0,0,0,1.53,0,0,0,0,6.89
120,0,0,0,0,1.96,17.64,0,0,0,17.64,0,1.96,0,0,5.88,1.96,0,41.16,0,0,1.96,227.34,0,0,3.92,0,0,0,0,0,1.96,0,0,3.92,0,1.96,0,0,0
