stage,epidermis,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
 14-21,0,0,0,3,0,0,0,21,0,2,1,2,1,3,2
 24-34,0,2.46,0,1.64,0,0.82,0.82,9.85,0,0,0,0,0,0.82,5.75
 36-46,0,3.22,0,0.81,0,0.81,0,19.34,0.81,0,0,0,0,0,1.61
 48-58,0.57,6.31,0,0,0,0.57,0,6.89,0,0.57,0,0,0,0,2.87
 60-70,0.98,15.7,0,0,0,1.96,0.98,11.78,0,0,0,0,0,0,0.98
 72-82,0,10.8,0,0.98,0,1.96,0,12.76,0,0.98,0,0,0,0,0
 84-94,0,10.62,0,0,1.06,2.12,0,7.43,0,0,1.06,0,0,0,0
 96-106,0,9.84,1.09,1.09,0,1.09,1.09,0,0,0,0,0,0,0,0
108-118,0,1.53,0,0,0,2.3,0.77,5.36,0,0,0,0,0,0,0
120,0,3.92,0,0,0,0,0,1.96,0,0,0,0,0,0,0
