stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,9.44,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,6.29,0,0,31.47,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,1,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,4,22,0,1,0,1,0,8,0,3,9,0,0,1,0,0
 24-34,0,0,5.75,0,0,2.46,0,0,0,5.75,0,0,0,0.82,0,0,0,0.82,1.64,4.1,0,0,2.46,82.91,1.64,1.64,0.82,0,0,33.66,0.82,1.64,14.78,0,0,2.46,0,0
 36-46,0,0,5.64,0,0,12.09,0,0,0,4.83,0,0,0,3.22,0,0,0,0,3.22,6.45,0,0,2.42,80.57,0.81,1.61,0,0,0,29.81,0.81,0,21.75,0,0,1.61,0,0
 48-58,0,0,1.72,0,0,20.08,0,0.57,1.15,8.61,0,0.57,0,0.57,0,0,0,0,1.15,6.89,0.57,0,0.57,85.5,0,0.57,1.15,0,0,6.31,0,0,16.07,0,0,0,0,0.57
 60-70,0,0,1.96,1.96,0,38.28,0,0,1.96,21.59,0,0,0,2.94,0,0,0,0,0.98,12.76,0,0,3.93,147.23,0,0.98,0,0,0,28.46,0,0,19.63,0,0,0.98,0,0
 72-82,0,0,4.91,2.94,0,46.14,0,0.98,0.98,20.61,1.96,0,0,8.83,0,0,0.98,0,0.98,28.47,0,0.98,3.93,105.04,0,0.98,1.96,0,1.96,19.63,0,0,11.78,0,0.98,1.96,1.96,1.96
 84-94,0,0,13.81,0,0,25.49,0,4.25,0,21.24,2.12,0,0,12.74,2.12,2.12,1.06,2.12,2.12,19.12,1.06,0,2.12,57.35,0,0,3.19,0,0,59.47,0,0,7.43,1.06,0,3.19,0,3.19
 96-106,0,0,27.32,2.19,0,29.51,0,1.09,1.09,27.32,3.28,0,1.09,13.11,0,0,0,1.09,0,27.32,1.09,1.09,3.28,72.13,0,4.37,4.37,0,0,73.22,1.09,0,5.46,1.09,2.19,1.09,2.19,2.19
108-118,0,0.77,26.81,2.3,0.77,26.81,0.77,10.72,0.77,19.15,6.89,0,0,6.89,1.53,2.3,0.77,1.53,3.06,25.28,0,0.77,1.53,88.85,1.53,2.3,2.3,0,0.77,49.02,0.77,0,2.3,0.77,2.3,1.53,0.77,3.83
120,0,0,23.52,3.92,3.92,7.84,0,5.88,0,13.72,5.88,0,0,9.8,0,0,0,0,3.92,11.76,1.96,1.96,3.92,47.03,0,1.96,1.96,0,0,54.87,0,0,3.92,0,0,0,0,1.96
