stage,epidermis,eye,fin.epithelia,glial,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pronephros,spinal.cord
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,4.1,0,0,0,0.82,0,0,0,0.82
 36-46,0,1.61,0,0,0,0.81,0,0,0,1.61,0,0,0,0.81
 48-58,0,1.72,0,0,0,1.15,0,0,0,0.57,0,0,0,0
 60-70,0,0.98,0,0,0,2.94,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,2.94,2.94,0,0,0.98,0,0,0,0
 84-94,0,1.06,1.06,0,0,5.31,1.06,0,0,1.06,0,0,0,0
 96-106,1.09,0,0,0,3.28,2.19,6.56,1.09,1.09,1.09,1.09,0,1.09,0
108-118,0,0,0,0.77,2.3,0.77,2.3,0,0,0,0.77,0.77,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
