stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,2.63,0,5.26,0,0,0,28.92,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,184.01,7.89,0,0,115.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,12.59,0,0,0,22.03,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,217.14,6.29,0,0,81.82,3.15,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,1,3,5,124,15,0,40,0,3,0,10,3,0,2,1,9,0,1,2,1,42,0,0,32,476,7,7,11,14,21,63,3,6,91,180,0,0,5,0,3
 24-34,0,0,0.82,4.1,12.31,0.82,0,28.73,0,1.64,2.46,7.39,0,0,0.82,1.64,5.75,0,0.82,1.64,0.82,18.88,0,0,13.95,283.2,0,10.67,3.28,0,19.7,0,3.28,1.64,12.31,73.88,0,0,5.75,0,1.64
 36-46,0,0,0,0,4.83,0,0,41.89,0.81,1.61,0.81,3.22,0,0,0.81,1.61,0,0.81,0.81,0,1.61,7.25,0.81,0,0.81,199,0.81,5.64,0.81,0,20.95,0,0,0,0,37.87,0,0,1.61,0,2.42
 48-58,0,0,0,0,4.02,0.57,0,64.27,0.57,2.3,1.15,9.18,0,1.15,0,0.57,0,0.57,3.44,0.57,0,16.64,0.57,0,1.72,172.72,0.57,3.44,1.15,0,12.62,0,1.15,0.57,0,28.12,0,0,3.44,0,2.87
 60-70,0,0,0,0,7.85,1.96,0,128.58,0,3.93,0.98,14.72,0.98,0,0,1.96,2.94,0.98,0.98,0,1.96,16.69,0.98,1.96,2.94,181.58,0.98,7.85,0,0,16.69,0,0.98,0,0,18.65,0,0,0,0,0.98
 72-82,0,0,2.94,0.98,7.85,18.65,0,167.86,0,1.96,1.96,21.6,4.91,0,0,10.8,2.94,0.98,3.93,0,2.94,41.23,0,1.96,2.94,184.55,0,24.54,5.89,0,7.85,0,2.94,0.98,0,13.74,7.85,1.96,7.85,1.96,1.96
 84-94,0,0,0,1.06,26.55,5.31,0,109.39,0,5.31,3.19,10.62,3.19,1.06,1.06,10.62,6.37,4.25,1.06,2.12,1.06,30.8,1.06,1.06,3.19,86.03,3.19,6.37,2.12,0,42.48,0,1.06,2.12,0,10.62,3.19,0,8.5,0,2.12
 96-106,0,0,1.09,0,28.41,20.76,1.09,88.52,0,6.56,0,13.11,4.37,0,2.19,12.02,10.93,2.19,6.56,5.46,1.09,22.95,2.19,2.19,3.28,76.5,0,21.86,4.37,0,37.16,0,1.09,1.09,0,3.28,4.37,0,7.65,0,1.09
108-118,0,0,1.53,0,25.28,17.62,0.77,91.92,3.06,7.66,2.3,11.49,3.06,0,0.77,10.72,7.66,2.3,1.53,3.83,1.53,17.62,0.77,0,5.36,121.79,1.53,12.26,3.83,0,22.98,0,0,2.3,0,3.06,8.43,0,8.43,1.53,0.77
120,0,0,0,0,17.64,13.72,0,74.47,0,1.96,1.96,11.76,3.92,0,1.96,37.24,3.92,1.96,3.92,1.96,0,25.48,1.96,0,9.8,127.39,0,13.72,11.76,0,29.4,0,0,0,0,1.96,9.8,1.96,9.8,3.92,0
