stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,9.44,0,3.15,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,1145.5,6.29,0,0,40.91,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,1343,1,0,85,0,5,0,9,0,2,0,0,20,0,0,0,0,5,4,0,5,390,4,0,1,1,0,3,0,4,1,3,10,156,0,0,0,0,0
 24-34,0,0.82,3.28,742.05,0,0,71.41,0,48.43,0,6.57,5.75,0,2.46,0,7.39,0,4.93,0.82,0,16.42,9.85,0,12.31,228.2,3.28,4.1,0,0,0,3.28,0,0,0,0.82,4.93,120.67,0,0,1.64,0,0
 36-46,0,0,3.22,470.51,0,0,43.51,0,62.04,1.61,12.09,8.06,0,2.42,0,2.42,0,3.22,0.81,0,47.53,7.25,0,4.03,283.6,1.61,2.42,0.81,0,0,13.7,0,0,3.22,0,0,62.84,0,0,0.81,0,0
 48-58,0,0,2.3,447.57,0.57,0,75.17,0,65.99,1.72,72.87,12.62,3.44,0.57,0,1.72,1.15,4.02,3.44,0.57,148.04,4.59,0.57,4.59,447.57,0.57,1.72,6.89,0,0.57,30.41,0,0,1.72,0,0,74.59,0,0,2.3,0,2.87
 60-70,0,1.96,0,544.74,0,0,112.88,0,73.61,0.98,212.99,31.41,0.98,0.98,0.98,4.91,0,1.96,4.91,0,195.32,9.82,1.96,8.83,486.83,1.96,0,8.83,0,0,45.15,0,0,1.96,0,0,75.58,4.91,0.98,0,0.98,0.98
 72-82,0,4.91,1.96,583.11,2.94,0,167.86,0.98,70.68,1.96,280.76,43.19,0.98,0.98,0,14.72,0,9.82,0.98,0,210.08,7.85,3.93,15.71,503.59,0,3.93,20.61,0,0.98,50.06,0,0,0,0,0,65.77,24.54,5.89,0.98,4.91,1.96
 84-94,0,5.31,4.25,1005.75,2.12,0,176.3,0,120.01,1.06,184.79,84.96,1.06,2.12,0,14.87,1.06,7.43,11.68,0,140.19,11.68,4.25,12.74,300.56,0,2.12,22.3,0,0,92.4,0,0,6.37,1.06,0,26.55,69.03,2.12,1.06,1.06,1.06
 96-106,0,8.74,8.74,1162.79,2.19,2.19,175.95,0,131.14,2.19,216.38,76.5,0,0,3.28,15.3,1.09,12.02,9.84,0,74.31,19.67,3.28,9.84,245.89,0,3.28,24.04,0,2.19,63.39,1.09,0,3.28,0,0,24.04,98.36,3.28,3.28,1.09,0
108-118,0,6.13,8.43,1056.26,1.53,2.3,172.34,0,155.49,1.53,176.17,67.4,0,0,0.77,10.72,0,10.72,13.79,0,71.23,12.26,3.06,8.43,250.47,1.53,4.6,29.87,0,0.77,36,0,0,6.89,0,0,19.15,122.55,3.83,0.77,2.3,2.3
120,0,0,1.96,899.54,1.96,0,137.18,0,119.55,0,195.98,78.39,0,3.92,1.96,5.88,1.96,11.76,11.76,0,60.75,19.6,1.96,15.68,315.53,7.84,1.96,23.52,0,3.92,29.4,0,0,0,0,0,17.64,35.28,5.88,0,0,1.96
