stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0,5,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0,41.04,0,0,0,0,0,13.95,0,2.46,0,0.82
 36-46,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0.81,0,0,0.81,2.42,1.61,0,0,116.82,0,0,0,0,0.81,26.59,0,0.81,0,0
 48-58,0,0,1.72,0,8.03,0.57,0,0,1.72,0,0.57,0,0,0.57,0,0,0,2.3,0,1.15,130.83,0,0,0.57,0,0,22.95,0,0,0,0.57
 60-70,0,0,1.96,1.96,12.76,0,0,0,2.94,0.98,0,0,0,0,0,0,0.98,3.93,0.98,0,318.99,0.98,0.98,0,0,0,28.46,0,0,0,0.98
 72-82,0,0.98,1.96,3.93,32.39,0,0.98,0.98,9.82,0,0,0,0.98,0.98,0,0,0,7.85,0,0,333.77,0,0,0,0,0,14.72,0,0,0,0.98
 84-94,0,0,2.12,1.06,23.36,0,0,0,8.5,0,0,0,0,0,0,0,1.06,3.19,1.06,0,172.05,1.06,1.06,0,0,3.19,8.5,0,0,0,1.06
 96-106,0,0,2.19,0,9.84,0,0,2.19,3.28,0,0,0,0,0,0,0,1.09,4.37,0,0,145.35,0,1.09,2.19,0,0,7.65,2.19,2.19,0,0
108-118,0,0,4.6,0,19.92,0,0,0,9.96,0.77,0,0.77,0,0,0,0,0,2.3,0,0.77,177.7,0,0.77,0,0,0.77,6.13,0,0.77,0.77,2.3
120,0,0,1.96,0,5.88,0,0,0,5.88,0,0,0,0,0,3.92,0,0,0,0,1.96,203.82,0,1.96,1.96,0,7.84,13.72,0,0,0,0
