stage,axial,epidermis,eye,fast.muscle,fin.epithelia,glial,heart,ionocyte,liver,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
 24-34,0,0.82,0.82,0,0.82,0,0,0,0,0,0.82,4.1,0,0,110.82,0,0,1.64
 36-46,0,0.81,0,0,1.61,0,0,0,0,0,1.61,0.81,0,0,70.09,0,0,0
 48-58,0,0.57,1.72,0,0,0,0,0,0,0.57,0.57,4.02,0,0,80.33,0.57,0,0
 60-70,0,2.94,0.98,0.98,2.94,0,0,0,0,0,0.98,0.98,0.98,0,99.13,0,0,0
 72-82,0,7.85,2.94,0,0,0,0,0.98,0,0,0,2.94,0,0,110.93,0,0,0
 84-94,0,8.5,1.06,0,5.31,0,0,6.37,0,0,2.12,3.19,0,0,263.39,0,2.12,0
 96-106,0,25.14,0,0,1.09,2.19,0,1.09,0,0,3.28,0,0,0,183.6,0,0,1.09
108-118,0,13.79,1.53,0,1.53,0,0.77,0.77,0.77,0,3.06,0.77,0,0,124.09,0,0,0
120,0,31.36,0,0,3.92,0,0,1.96,0,1.96,3.92,1.96,0,0,190.1,0,1.96,0
