stage,blastomeres,endoderm,erythrocytes,eye,fin_mesenchyme,glial,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,18.06,0.82,0,6.57,0,0
 36-46,0,0,0,0.81,0,0.81,0,0.81,0,22.56,0,0,2.42,0,0
 48-58,0,0,0,4.02,0,1.15,0.57,0,0,35.58,0,0,5.16,0,0
 60-70,0,0,0,12.76,0,0,0,0,0,63.8,0,0,7.85,0,0
 72-82,0,0,0,18.65,0,1.96,0,3.93,0,59.88,0,0,3.93,0,0.98
 84-94,0,0,0,16.99,1.06,1.06,0,0,0,24.43,0,0,3.19,1.06,0
 96-106,0,0,0,4.37,0,0,0,0,0,21.86,0,0,2.19,0,1.09
108-118,0,0,0,7.66,0,0,0,0.77,0,32.17,0,0,0,0,0
120,0,0,1.96,11.76,0,1.96,0,0,0,39.2,0,0,0,0,0
