stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,36.78,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,20,0,0,2,0,0,1,0,0,6,0,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,7.39,0,0,0,0.82,0.82,0,0,0,0,0,0,0.82,9.03,0,0,3.28,92.76,0,0.82,0,0,0,4.1,0,0,18.06,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,18.53,2.42,0,0.81,8.06,0,0,0,0,0.81,0,0,0.81,7.25,0,0,3.22,107.15,0.81,0.81,2.42,0,0,0.81,0,0,24.17,0,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,0,49.35,0,0,0.57,11.48,0,0,0.57,0,0,0,0,0.57,12.05,1.15,0.57,1.15,90.09,0,1.15,0.57,0,0,2.3,0,0,26.97,0,0,0,0,0
 60-70,0,0,0,0,2.94,0.98,0,48.09,0,0.98,0,14.72,0,0.98,0,0,0,0.98,0.98,0,6.87,0,0.98,0.98,117.78,0.98,0,1.96,0,0,1.96,0,0,7.85,0,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,0,79.51,0,0,0,19.63,0.98,0,1.96,0,0.98,0.98,0,0,19.63,0,0.98,0.98,97.18,0,3.93,0.98,0,0,2.94,0,0.98,3.93,0,0.98,2.94,0,0
 84-94,0,0,1.06,0,3.19,1.06,0,44.61,0,2.12,0,13.81,0,0,1.06,0,1.06,2.12,0,0,20.18,1.06,2.12,1.06,39.3,0,1.06,2.12,0,1.06,8.5,0,0,6.37,1.06,0,0,2.12,0
 96-106,0,0,0,0,5.46,1.09,0,30.6,0,1.09,0,10.93,1.09,0,1.09,1.09,0,2.19,1.09,0,17.49,0,0,1.09,31.69,0,2.19,2.19,0,0,5.46,0,1.09,3.28,0,1.09,1.09,0,1.09
108-118,0,0,0.77,0,9.19,0.77,2.3,26.04,0,0,0.77,10.72,1.53,0,2.3,0.77,1.53,0,0,0.77,16.09,0.77,0.77,0,47.49,0.77,2.3,3.83,0,0.77,6.13,0,0.77,0.77,0.77,0.77,0.77,0,0.77
120,0,0,0,0,7.84,0,0,17.64,0,0,0,9.8,1.96,1.96,1.96,0,1.96,0,1.96,0,5.88,0,0,0,66.63,0,3.92,0,0,0,7.84,0,0,1.96,0,0,0,0,0
