stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,13.14,0,0,52.57,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,257.61,10.51,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,22.03,15.73,0,0,25.18,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,494.07,3.15,0,0,135.32,0,3.15,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,7,31,7,21,0,0,0,8,1,1,0,0,0,0,0,0,0,27,0,17,347,4,1,3,5,0,6,0,34,0,25,91,0,0,1,0,0
 24-34,0,0,0,13.95,1.64,60.74,0,0,0,9.03,0.82,1.64,0,0,0,0,0.82,2.46,0.82,47.61,0,15.6,436.7,0,4.93,4.1,0,0,9.85,0,0,0,3.28,77.98,0,0,4.93,0,1.64
 36-46,0,0,0,4.03,0,82.18,0,0,0,10.47,0,0,0,0,0,1.61,0.81,0.81,0,36.26,0,5.64,256.2,0.81,1.61,0.81,0,0,1.61,0,0,0.81,0,53.17,0,0,0.81,0,2.42
 48-58,0,0,0,2.87,0.57,104.43,0.57,0.57,0.57,11.48,0,0,1.15,0,0,1.15,0.57,0.57,0,34.43,0,7.46,168.7,0.57,0.57,1.72,0,0,1.72,0.57,0,0,0,39.59,0,0,1.72,0,2.87
 60-70,0,0,0,3.93,0.98,79.5,0,0.98,0.98,16.69,0.98,0,0.98,0,0,0,1.96,0,0,23.56,0.98,1.96,98.15,0,0,0,0,0,0,0,0,0,0,16.69,0,0,1.96,0,0.98
 72-82,0,0,0,7.85,0.98,35.34,0,0,1.96,17.67,0,0,0,2.94,0,1.96,0.98,0,0.98,38.28,0.98,5.89,94.24,0,1.96,1.96,0,0,0,0,0,0,0,6.87,0,0.98,1.96,0,0
 84-94,0,0,0,10.62,1.06,38.23,1.06,2.12,0,16.99,2.12,0,0,3.19,0,2.12,0,0,1.06,22.3,0,10.62,62.66,1.06,2.12,2.12,0,0,1.06,0,0,1.06,0,2.12,1.06,1.06,3.19,2.12,0
 96-106,0,0,0,4.37,0,27.32,0,0,0,14.21,6.56,0,0,3.28,0,1.09,0,0,0,19.67,1.09,7.65,61.2,0,0,4.37,0,0,7.65,0,0,0,0,5.46,0,0,3.28,0,2.19
108-118,0,0,0,9.96,3.06,31.4,0,0,1.53,18.38,6.89,0,0,3.06,0.77,1.53,0,0,0.77,32.17,0.77,6.13,69.7,0,2.3,1.53,0,0.77,5.36,0,0,0,0,0.77,0,0,3.06,0,0.77
120,0,0,0,7.84,3.92,29.4,0,1.96,0,19.6,1.96,0,0,7.84,0,5.88,0,0,0,19.6,0,13.72,76.43,1.96,0,0,0,0,3.92,0,0,0,0,3.92,0,0,5.88,1.96,0
