stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,94.63,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,3,0,0,1,2,0,2,0
 24-34,0,0,0,1.64,0,3.28,0,0,1.64,0,0,0,0.82,0,0,0,0,3.28,0.82,0,0,41.86,0.82,0.82,0.82,0,0.82,0,0,0,0,11.49,0,0.82,0
 36-46,0,0,0,0,0,8.06,0.81,0,1.61,0,0,0.81,0,0,0,0,0,3.22,0,0,0,41.89,0,0,0,0,2.42,0,0,0,0,6.45,0,0.81,0
 48-58,0,0,0,0.57,0.57,10.33,0,0,2.87,0,0,0,0,0,0,0,0,7.46,0,0,0.57,20.08,0.57,0.57,0.57,0,0.57,0,0,0.57,0.57,5.16,0,2.3,0
 60-70,0,0,0,0,0,22.58,0,0,3.93,0,0,0,0,0,0,0,0,11.78,0,0,0.98,31.41,0,0,0,0,1.96,0,0.98,0,0,6.87,0,0,0
 72-82,0,0,0,0,0,7.85,0,0,2.94,0.98,0,0,0,0,0,0,0,6.87,0,0.98,0.98,13.74,0,0,0.98,0,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,1.06,0,7.43,0,1.06,4.25,0,0,0,0,1.06,1.06,0,0,9.56,0,0,2.12,9.56,0,0,0,0,3.19,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,5.46,0,0,2.19,0,0,0,1.09,0,0,2.19,0,3.28,0,0,1.09,7.65,0,1.09,0,0,2.19,0,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0,3.83,0,0,3.06,0,0,0.77,0,0,0,0.77,1.53,6.89,0,0,0,10.72,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,1.96,0,5.88,3.92,0,5.88,1.96,0,0,0,0,0,0,1.96,5.88,0,0,0,15.68,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0
