stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,5,24,190,40,0,124,0,1,0,13,13,3,2,8,23,2,1,1,14,78,5,0,44,960,8,8,20,6,0,19,14,34,23,4,41,266,0,0,8,0,7
 24-34,0,7.39,16.42,96.86,160.89,0,242.15,0.82,6.57,0,44.33,19.7,1.64,2.46,24.63,63.21,9.03,9.03,7.39,29.55,119.02,9.85,0.82,44.33,1319.12,12.31,41.86,45.97,0.82,0,136.26,1.64,0.82,35.3,2.46,11.49,344.76,0,0,31.19,0,22.16
 36-46,0,4.83,3.22,24.98,105.54,0,189.33,4.83,3.22,2.42,95.07,10.47,1.61,5.64,24.98,23.36,13.7,8.06,15.31,15.31,80.57,6.45,2.42,13.7,1123.1,7.25,39.48,38.67,0,0,153.08,3.22,0,31.42,8.86,0,323.88,0,0,13.7,0,19.34
 48-58,0,2.3,0.57,52.22,295.51,0,317.31,3.44,9.75,5.74,206,15.49,13.77,4.02,31.56,18.94,21.8,9.18,11.48,6.31,102.14,6.89,4.59,21.8,823.41,4.59,23.53,45.9,0,0.57,166.98,0.57,0,21.23,15.49,0,215.75,0,0.57,23.53,0,16.64
 60-70,0,1.96,0,71.65,284.64,0,595.78,6.87,19.63,5.89,298.38,35.33,8.83,4.91,39.26,29.45,29.45,7.85,27.48,1.96,200.23,10.8,5.89,17.67,1046.3,6.87,29.45,33.37,0,2.94,220.84,0.98,0,23.56,17.67,0,137.41,0.98,3.93,23.56,1.96,28.46
 72-82,0,13.74,2.94,110.93,218.91,2.94,630.23,9.82,8.83,10.8,408.37,92.28,5.89,8.83,76.57,55.95,47.12,23.56,39.27,12.76,359.29,23.56,18.65,31.41,1080.81,0.98,51.05,64.79,0,5.89,263.09,0.98,0,56.94,7.85,0,80.5,15.71,8.83,52.03,14.72,23.56
 84-94,0,15.93,4.25,199.66,219.84,12.74,584.12,4.25,38.23,8.5,294.18,198.6,6.37,4.25,101.96,122.13,38.23,33.99,83.9,10.62,240.02,25.49,21.24,29.74,647.84,5.31,54.16,111.51,0,2.12,811.4,0,0,121.07,12.74,0,60.54,54.16,14.87,48.85,9.56,15.93
 96-106,0,18.58,4.37,259,298.35,2.19,434.95,4.37,42.62,10.93,355.18,249.17,0,15.3,139.88,125.68,29.51,49.18,107.1,12.02,332.23,28.41,15.3,36.06,676.47,9.84,106.01,131.14,0,4.37,772.64,4.37,0,135.51,20.76,0,40.44,49.18,2.19,77.59,19.67,20.76
108-118,0,12.26,9.19,242.04,255.83,16.85,396,10.72,55.92,14.55,294.9,193.79,0,5.36,84.26,112.6,34.47,33.7,133.28,14.55,250.47,19.92,9.19,49.79,823.41,11.49,64.34,111.06,0,5.36,642.64,1.53,0,102.64,15.32,0,35.23,49.02,4.6,44.43,15.32,24.51
120,1.96,1.96,0,243.01,323.36,11.76,290.05,13.72,43.12,3.92,231.25,166.58,0,3.92,141.1,50.95,23.52,21.56,80.35,7.84,248.89,13.72,15.68,56.83,842.71,11.76,43.12,70.55,0,5.88,536.98,0,0,52.91,5.88,0,23.52,27.44,1.96,48.99,17.64,7.84
