stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,12,3,0,6,0,2,0,4,0,0,0,0,0,0,1,0,0,10,0,0,5,91,2,0,2,1,0,1,7,2,0,5,59,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,13.95,0,0,1.64,3.28,0,0,0.82,0,0,0,0.82,0,0.82,21.34,0,0,9.85,307,0,2.46,0.82,0,0,4.1,0,0,0,2.46,91.12,0,0,0,0
 36-46,0,0,0.81,0,2.42,0,0,53.98,0,0,0.81,11.28,0,0,0,0,0.81,0,0,0.81,0,24.98,0,0,6.45,617.14,0,0.81,4.03,0,0.81,7.25,0,0,0,0,116.02,0,3.22,0,0
 48-58,0,0,0,0,2.3,0,0,183.62,0,1.15,1.72,27.54,0,0,0.57,0,0,0.57,0.57,0,0,32.71,0,1.72,3.44,736.19,0.57,1.72,1.15,0,0,7.46,0,0,0,0,142.88,0,2.3,0,0.57
 60-70,0,0,0,0,0.98,0,0,320.96,0.98,1.96,0.98,27.48,0,0,0.98,0,0,0,0,0,0,29.45,0,0.98,4.91,765.59,0,0.98,1.96,0,0.98,8.83,0,0,0,0,103.06,2.94,0,0,2.94
 72-82,0,0,0,0,7.85,0.98,0,313.15,0,0.98,1.96,18.65,0.98,0,0,0,0,0.98,0.98,0,0,44.17,0,1.96,3.93,628.26,0,0.98,5.89,0,0,10.8,0,0.98,0,0,53.99,1.96,4.91,0.98,2.94
 84-94,0,0,1.06,0,6.37,0,0,174.17,0,2.12,0,21.24,0,0,2.12,2.12,0,3.19,2.12,2.12,2.12,41.42,0,1.06,5.31,285.69,0,0,10.62,0,0,25.49,0,0,1.06,0,26.55,1.06,4.25,2.12,1.06
 96-106,0,0,1.09,0,12.02,1.09,0,118.03,1.09,1.09,1.09,13.11,2.19,0,1.09,2.19,1.09,1.09,4.37,1.09,0,28.41,1.09,2.19,2.19,174.86,0,3.28,14.21,0,0,17.49,0,1.09,1.09,0,12.02,0,1.09,1.09,0
108-118,0,0,0,0,4.6,1.53,0.77,94.98,0.77,3.83,0,6.89,3.06,0,0,1.53,1.53,3.06,0.77,0,0,20.68,0.77,1.53,3.83,225.19,0.77,1.53,7.66,0,0.77,5.36,0,0.77,0,0,6.13,0,3.06,0,3.06
120,0,0,0,0,5.88,0,0,72.51,0,1.96,1.96,19.6,0,0,0,0,1.96,3.92,3.92,0,0,19.6,0,0,3.92,227.34,0,1.96,9.8,0,1.96,5.88,0,0,0,0,7.84,0,1.96,3.92,1.96
