stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,40.91,6.29,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,3,4,0,4,0,0,2,0,0,7,0,0,0,3,0,0,4,11,14,0,0,0,1,8,43,0,0,0,0,0
 24-34,0,0,13.95,0,0.82,0,0,0,0,7.39,0,0.82,28.73,0,0,2.46,3.28,0,0,9.03,18.88,0,0,0,0,0.82,6.57,28.73,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0.81,0.81,0,6.45,0,0,35.45,0,0,3.22,0.81,0,0,11.28,12.09,0,0,0,0,0,3.22,20.14,0,0,0,0,0
 48-58,0,0,2.3,0.57,0,0,1.72,0,1.72,5.16,0,1.15,36.72,0,0,2.3,10.9,0,0,8.03,8.61,0,0,0,0,0,2.87,20.66,0,0,1.15,0,0.57
 60-70,0,0,0,0.98,0,0,0.98,0,4.91,7.85,0,0,56.93,0.98,0,1.96,6.87,0,0.98,1.96,12.76,0,0,0,0.98,0,2.94,5.89,0,0,0,0,0
 72-82,0,7.85,0.98,3.93,0.98,0,2.94,0,4.91,20.61,0,0,61.84,1.96,0,11.78,5.89,0,3.93,3.93,18.65,0,0,0,1.96,1.96,4.91,5.89,1.96,0.98,2.94,0,0
 84-94,0,4.25,0,2.12,0,1.06,5.31,0,4.25,37.17,0,1.06,75.4,2.12,0,14.87,6.37,0,3.19,1.06,5.31,0,1.06,0,2.12,0,6.37,7.43,4.25,0,1.06,0,0
 96-106,0,1.09,1.09,0,0,0,2.19,0,2.19,38.25,0,2.19,88.52,2.19,0,12.02,20.76,1.09,2.19,1.09,20.76,0,0,0,2.19,2.19,3.28,5.46,15.3,2.19,2.19,2.19,0
108-118,0,3.06,4.6,1.53,0,2.3,4.6,0.77,2.3,38.3,0,0.77,76.6,3.06,0.77,16.09,9.19,0.77,1.53,1.53,11.49,0,0,0,3.06,0,6.89,0.77,13.02,0.77,2.3,0.77,0
120,0,1.96,0,0,0,0,1.96,1.96,1.96,23.52,0,1.96,78.39,1.96,0,11.76,9.8,0,1.96,1.96,15.68,0,1.96,0,7.84,0,5.88,0,5.88,3.92,0,1.96,0
