stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,10.51,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,53.5,6.29,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,11,0,0,0,0,2,0,1,14,2,0,0,0
 24-34,0,0,1.64,0,0.82,0,3.28,0,0,0,0,0,0,0,0,0.82,0,0.82,0,1.64,0,0,2.46,48.43,0.82,0.82,0,0,3.28,0,0,4.93,11.49,0,2.46,0
 36-46,0,0,0,1.61,0,0,9.67,0,0.81,0,4.83,0,0,0,0,0.81,0,0,0,4.03,0,0,1.61,51.56,1.61,0.81,0.81,0,1.61,0,0,0,17.72,0,0.81,0
 48-58,0,0,0,1.15,0,0,17.21,0.57,0,1.15,2.3,0,0.57,0.57,0,0,0,0.57,0,9.75,0,0,2.87,56.81,0,0,0.57,0,1.72,0,0,0,10.33,0,1.15,0.57
 60-70,0,0,0,0.98,0,0,38.28,0,0,0.98,5.89,0,0,0,0,0,0,0,0,10.8,0,0,0,80.48,1.96,1.96,0,0,4.91,0,0,0,5.89,0,0.98,0.98
 72-82,0,0,0,1.96,0.98,0,42.21,0,0,0,3.93,2.94,0,0,0.98,0,0,0,0.98,18.65,0.98,0,4.91,53.01,0,2.94,0.98,0,1.96,0,0,0,5.89,0.98,0.98,0
 84-94,0,0,0,0,1.06,0,28.68,0,1.06,1.06,5.31,0,0,1.06,0,2.12,0,2.12,1.06,9.56,0,1.06,1.06,24.43,0,0,3.19,0,7.43,0,0,0,2.12,1.06,3.19,0
 96-106,0,0,0,2.19,0,0,8.74,0,0,0,4.37,0,0,1.09,2.19,1.09,1.09,0,0,5.46,0,0,1.09,24.04,0,1.09,3.28,0,10.93,0,0,0,0,0,0,1.09
108-118,0,0,0,2.3,0,0.77,5.36,0,0.77,0,8.43,0.77,0,0,0,0.77,0,0,0,4.6,0,0,0.77,16.85,0,0.77,3.06,0,3.83,0,0.77,0,0,0.77,0,0
120,0,0,0,7.84,0,0,7.84,0,3.92,0,3.92,0,0,0,1.96,0,0,0,0,13.72,0,0,0,17.64,1.96,1.96,1.96,0,1.96,0,0,0,1.96,0,0,0
