stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0.82,0.82,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0.81
 48-58,0,0,0,0,0,1.15,0.57,0,1.15,0,1.72,0,0.57,0,0,1.72
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,1.96,0,0,0,0,0.98
 72-82,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
