stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0,0,2,44,0,0,0,1,0,2,6,1,7,25,0,0,1,0,0
 24-34,0,0,0,0,6.57,0.82,0,13.95,0,1.64,0.82,2.46,0,0,0.82,0.82,1.64,0,0.82,0.82,0.82,10.67,0,0,2.46,160.89,0,8.21,2.46,0,0,5.75,0,0,1.64,44.33,0,0,4.1,0,0
 36-46,0,0,0,0,2.42,0.81,0,34.64,0,0.81,1.61,6.45,0,0,0.81,0,0.81,0.81,0.81,0,0.81,12.09,0,0,8.06,294.07,0.81,8.86,0.81,0,0,13.7,0,0.81,0.81,63.65,0,0,3.22,0,0.81
 48-58,0,0,0,0,2.87,0.57,0,59.1,0.57,1.72,0.57,12.62,0,2.3,0.57,1.72,0,0.57,1.15,0,1.72,14.92,0,0.57,2.87,262.8,0,5.74,1.15,0,0.57,9.18,0,0,0,50.49,0,0.57,1.72,0,2.3
 60-70,0,0,0,0,4.91,0,0,156.06,0,0,0,24.54,0.98,0,0.98,3.93,1.96,0,0,0,1.96,27.48,0.98,0.98,1.96,384.76,1.96,1.96,0.98,0,0.98,12.76,0,0,0,53.98,0,0.98,4.91,0,3.93
 72-82,0,0,0,0,5.89,6.87,0,152.16,0,0.98,0.98,31.41,1.96,0,0,5.89,0.98,0.98,0,0,0,49.08,3.93,3.93,5.89,385.79,0.98,5.89,0.98,0,0,1.96,0,0,0,24.54,0,0.98,10.8,2.94,0.98
 84-94,0,0,0,0,13.81,3.19,0,101.96,0,2.12,1.06,30.8,5.31,2.12,1.06,3.19,2.12,3.19,0,1.06,1.06,30.8,1.06,3.19,6.37,201.79,2.12,6.37,0,0,0,32.92,0,1.06,0,12.74,0,1.06,11.68,2.12,0
 96-106,0,0,0,0,16.39,10.93,1.09,95.08,1.09,5.46,1.09,31.69,8.74,0,2.19,1.09,3.28,0,0,1.09,0,36.06,2.19,0,3.28,205.46,1.09,13.11,4.37,0,0,28.41,0,0,0,9.84,1.09,1.09,17.49,5.46,2.19
108-118,0,0,1.53,0,13.79,3.83,3.06,68.94,0.77,5.36,0.77,29.87,4.6,0,0.77,7.66,0.77,2.3,1.53,3.06,3.06,22.21,1.53,0.77,4.6,221.36,0.77,6.89,2.3,0,0,13.02,0,0,0,7.66,2.3,1.53,9.19,0,2.3
120,0,0,0,0,19.6,9.8,0,66.63,1.96,5.88,0,17.64,7.84,0,0,9.8,0,0,1.96,0,0,19.6,1.96,0,0,213.62,1.96,1.96,3.92,0,0,7.84,0,3.92,0,0,3.92,0,9.8,3.92,1.96
