stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,4,74,1,0,0,0,0,0,0,0,2,112,0,0,1,0,0
 24-34,0,0,0,2.46,0.82,0,8.21,0,0,0,1.64,0.82,0.82,0,19.7,0,0,0,0.82,9.85,0.82,0,3.28,395.65,0.82,3.28,1.64,0,0,4.1,0.82,0.82,0.82,302.08,0,0,0,0,0.82
 36-46,0,0,0,2.42,0,0,16.11,0,0,0.81,1.61,0,0.81,0,4.83,0,0,0,1.61,8.86,0,0.81,0.81,825.01,0,8.06,0,0,0,0,0.81,1.61,0.81,415.73,0,0,0.81,0,0.81
 48-58,0,0,0,5.74,1.15,0,115.33,0.57,0.57,1.72,18.36,0,1.15,1.15,6.31,0.57,1.15,0,1.15,17.21,0.57,0.57,5.74,1120.64,0,4.02,1.72,0,0.57,2.3,0,0.57,0,373.55,0,0,2.3,0,3.44
 60-70,0,0,0,8.83,0.98,0,275.81,0,3.93,0,16.69,0.98,0,0.98,5.89,0,0,0,0,23.56,0,0,0.98,1795.2,0.98,0,0.98,0,0,3.93,0,0,0,398.5,0,0,0,0,1.96
 72-82,0,0.98,0,14.72,8.83,0,485.92,0.98,1.96,1.96,40.25,1.96,0.98,0,9.82,0.98,2.94,1.96,0,50.06,0,2.94,4.91,1588.33,0,5.89,0.98,0,0,1.96,1.96,1.96,0,236.58,0,0,2.94,1.96,5.89
 84-94,0,0,0,22.3,2.12,0,311.18,0,1.06,1.06,40.36,1.06,0,2.12,21.24,4.25,0,0,0,30.8,1.06,2.12,1.06,842.2,0,0,0,0,0,4.25,0,0,0,131.69,2.12,3.19,0,0,2.12
 96-106,0,0,0,20.76,5.46,0,280.86,1.09,1.09,1.09,34.97,2.19,1.09,3.28,17.49,1.09,0,1.09,0,24.04,0,2.19,1.09,740.95,1.09,6.56,0,0,1.09,12.02,0,0,0,60.11,3.28,0,1.09,0,2.19
108-118,0,0,0.77,16.85,0,0,228.26,0,0,1.53,60.51,2.3,0,2.3,26.04,0,0,3.06,0,21.45,0,1.53,3.06,895.41,0,2.3,0.77,0,1.53,3.83,0,0,0,36.77,2.3,0.77,1.53,3.06,4.6
120,0,0,0,21.56,1.96,1.96,286.13,1.96,1.96,0,64.67,1.96,0,7.84,13.72,0,0,1.96,0,23.52,1.96,3.92,0,1269.94,0,1.96,0,0,1.96,1.96,0,0,0,66.63,1.96,0,3.92,1.96,3.92
