stage,axial,epidermis,eye,fin.mesenchyme,glial,hatching.gland,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,12,0,0,1,0,0,0,3,0,0
 24-34,0,1.64,1.64,0,0,0,0,1.64,0,2.46,47.61,0,0,0.82,0,0,0,11.49,0,0
 36-46,0,1.61,26.59,0.81,4.03,0,0.81,8.06,0,0,248.15,0,0,0.81,0,0,0,37.87,0,0.81
 48-58,0,2.87,24.1,0,5.16,0,0,5.74,0,1.15,154.93,0,0,1.15,0,0,0,20.08,0,0
 60-70,0,1.96,27.48,0,5.89,0,0.98,15.7,0,0,340.59,0,0,0,0,0.98,0,31.41,0,0.98
 72-82,0,0,12.76,0,3.93,0,0,24.54,0,0,132.52,0,0.98,0.98,0,0,0,13.74,0,0.98
 84-94,0,7.43,16.99,1.06,3.19,0,0,14.87,0,0,92.4,1.06,0,1.06,0,0,1.06,6.37,0,0
 96-106,0,2.19,10.93,0,3.28,0,0,10.93,1.09,0,68.85,0,0,0,1.09,0,0,2.19,0,2.19
108-118,0,3.06,12.26,0.77,1.53,0,0,12.26,0.77,0,62.04,0,0,1.53,0,0,0,1.53,0.77,1.53
120,0,1.96,1.96,1.96,3.92,0,0,7.84,0,1.96,48.99,0,0,3.92,0,0,0,0,1.96,0
