stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,gut,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,pronephros
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,3.15
 14-21,0,0,49,5,0,0,5,0,1,0,13,0,4,3,0,4,0,0
 24-34,0,2.46,13.95,0.82,0,0,2.46,2.46,0,0,46.79,0,10.67,6.57,0,0,0.82,0
 36-46,0,0,2.42,0,0,0,0.81,0.81,0,0.81,8.06,0,3.22,1.61,0.81,0,0,0
 48-58,0,0,0.57,0,0.57,0.57,0,0,0,0.57,1.72,0,1.15,2.3,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
