stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,1.64,0.82,0,0.82,0.82,0,0.82,0.82,5.75,0.82,0,0,0,0,3.28,0.82,0,0,0
 36-46,0,0.81,0,0,0,0,0.81,0,0,0,0,4.03,3.22,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,2.94,0,0.98,0,0.98,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,2.12,0,0,1.06,0,0,10.62,0,2.12,0,1.06,1.06,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,1.09,3.28,2.19,0,0,0,0,18.58,0,2.19,0,4.37,2.19,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,2.3,0,0,0,0,0,19.92,0,0.77,0,3.06,3.06,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,13.72,0,0,0,7.84,1.96,0,0,1.96,0,0,0,0,0
