stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,visceral.smooth.muscle
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,11,0
 24-34,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,50.07,0,0.82,0,0,13.13,0
 36-46,0,0,0,0,4.03,0,1.61,0,0.81,0,0.81,0,0,0,189.33,0,4.03,0.81,0,24.17,0
 48-58,0,0,0,0,20.08,0,1.15,0,0,0,0,0,0,0,220.91,0,2.87,0,0,33.85,0
 60-70,0.98,0,0,0,65.76,0,0.98,0,0,0,0,0,0,0,383.78,0,0.98,1.96,0.98,35.33,0
 72-82,0.98,3.93,0.98,0,114.85,0,6.87,0.98,0,0.98,0,3.93,0,0.98,307.26,0,6.87,0.98,0,25.52,0
 84-94,5.31,0,0,0,60.54,0,6.37,0,0,0,1.06,1.06,1.06,1.06,126.38,1.06,3.19,2.12,0,5.31,1.06
 96-106,2.19,2.19,1.09,0,90.71,0,3.28,1.09,0,0,1.09,1.09,0,0,167.21,0,3.28,4.37,0,5.46,0
108-118,0.77,2.3,0,0,65.87,0,3.06,0.77,0,0,0,1.53,0,0,160.09,0,4.6,3.06,0,3.83,0
120,1.96,1.96,0,1.96,39.2,1.96,9.8,0,0,0,0,1.96,0,1.96,148.94,0,3.92,1.96,0,3.92,0
