stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,4,0,0,0,0,5,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,2.46,0,0,1.64,0,0,0,0,9.85,0,3.28,0,0.82,31.19,0,2.46,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0.81,12.89,0,11.28,0.81,0,16.92,0,1.61,0
 48-58,0,0,0,0,0,4.02,0,0,0,0.57,0,0,1.15,0,0,0,1.15,0,0,0.57,10.9,0.57,7.46,0.57,0,6.89,0,0.57,0
 60-70,0,0,2.94,0,0,12.76,0,0.98,0,0,0,0,0,0,2.94,0,0,0,0,0,30.43,0,4.91,0,0,8.83,0,0,0
 72-82,0,0,4.91,0,0,10.8,0,0,1.96,0.98,0,0,1.96,0,3.93,0,3.93,0,0,0.98,33.38,0,4.91,0.98,0,10.8,0,0,0.98
 84-94,0,3.19,1.06,0,0,4.25,1.06,0,13.81,0,0,0,0,0,3.19,0,1.06,1.06,0,0,12.74,0,4.25,0,0,13.81,0,0,0
 96-106,0,2.19,6.56,0,1.09,4.37,0,1.09,19.67,0,0,0,0,0,6.56,2.19,1.09,0,0,1.09,22.95,0,2.19,0,1.09,16.39,0,1.09,0
108-118,0,0.77,3.83,0,0,1.53,0,0,24.51,0,0,1.53,0,0.77,6.13,7.66,0,0.77,0,0.77,13.79,0,1.53,0,0,15.32,0.77,0,0
120,0,1.96,3.92,1.96,0,1.96,0,0,39.2,0,0,0,1.96,0,1.96,11.76,1.96,0,1.96,0,19.6,0,1.96,0,1.96,15.68,0,0,0
