stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,0,0,0,0,0,0,6,0,1,0,0
 24-34,0,0,0.82,0,5.75,0,0,0,0,0,0,0,0,0.82,1.64,0,0.82,41.04,0,0.82,0.82,0,0,0.82,0,0.82,7.39,0,0.82,0,0
 36-46,0,0,1.61,0,6.45,0,0,1.61,0,0,0,0,0,0.81,2.42,0,2.42,31.42,0,0.81,0.81,0,0,0.81,0,0,6.45,0,0.81,0,0.81
 48-58,0,0,0.57,0,15.49,0.57,0,4.02,0,0.57,0,0,0,0,4.59,0,0.57,30.41,0,1.15,1.15,0,0,1.15,0,0,5.74,0,0.57,0,0
 60-70,0,0,0,0,17.67,0,0,7.85,0,0,0.98,0,0,0,13.74,0,2.94,37.3,1.96,0,0.98,0,0,0.98,0,0,7.85,0,0,0,0
 72-82,0,0,1.96,0,17.67,0,0,4.91,0.98,0,0.98,0,0,0,10.8,0.98,0.98,23.56,0,0.98,2.94,0,0.98,0,0,0,2.94,0,0.98,0.98,0
 84-94,0,0,0,1.06,9.56,1.06,0,4.25,0,0,0,1.06,0,0,9.56,2.12,0,13.81,1.06,0,2.12,0,0,1.06,0,0,2.12,0,1.06,1.06,0
 96-106,0,0,0,0,5.46,0,0,3.28,0,0,1.09,0,0,0,6.56,2.19,1.09,14.21,0,0,0,0,0,2.19,0,0,0,0,1.09,2.19,0
108-118,0,0,2.3,0.77,6.89,0.77,0,3.06,0,0,1.53,0,1.53,1.53,5.36,1.53,1.53,14.55,0,0.77,0.77,0,0,1.53,0,0,0,0.77,0,0.77,0
120,0,0,0,1.96,0,0,1.96,3.92,0,1.96,0,0,0,0,13.72,0,0,11.76,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
