stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,14,1,0,10,0,3,0,3,0,0,0,1,8,0,9,163,3,1,1,2,3,13,2,10,64,0,0,0,0
 24-34,0,1.64,0.82,0,18.88,0,4.1,0,0,0.82,0,0.82,0,18.88,0,8.21,224.09,0.82,0,1.64,0,0,0,0,3.28,59.92,0,0.82,0,0.82
 36-46,0,0,0,0,43.51,0,6.45,0,0,0,0,0,0,12.89,0.81,4.83,135.35,0,1.61,0,0,0,0,0,0,37.06,0,0.81,0,0.81
 48-58,0,1.15,0,0,51.07,0,6.31,0,0,0.57,0,0,0,10.33,0.57,2.87,62.54,0,1.15,0.57,0,0,0,0,0,9.18,0,0,0,0
 60-70,0,0.98,0,0,32.39,0,7.85,0,0,0,0.98,0,0,9.82,0,0.98,30.43,0.98,1.96,0,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,0.98,0,0,5.89,0,5.89,0,0,0,0,0,0,7.85,0,0.98,12.76,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,1.06,1.06,0,13.81,0,2.12,0,0,0,0,0,0,6.37,1.06,2.12,11.68,0,0,0,0,0,0,0,0,2.12,0,1.06,0,0
 96-106,0,2.19,0,0,10.93,0,8.74,1.09,0,0,0,0,0,4.37,0,1.09,25.14,0,1.09,2.19,0,1.09,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0.77,3.83,0.77,3.83,0,0,0,0,0,0,6.89,0,3.83,11.49,0,1.53,0,0,0,0,0,0,0.77,0.77,1.53,0,0.77
120,0,1.96,0,0,13.72,0,3.92,0,0,0,0,1.96,0,1.96,0,1.96,7.84,0,0,1.96,0,0,0,0,0,0,0,0,0,0
