stage,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
 14-21,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,6,0,0
 24-34,0.82,0,2.46,0,0,0,0,0.82,0.82,0,0.82,0,0,6.57,0,0,0,0,1.64,0,0
 36-46,0,0,1.61,0,0,0,0,0.81,0,0,0,0,0.81,0.81,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0.57,0,1.15,0,0,0.57,0,0.57,0,0,0.57,0,0
 60-70,0.98,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0,0.98,2.94,0,0,0.98,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,1.06,0,0,2.12,1.06,0,1.06,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,1.09,0,1.09,0,2.19,0,0,2.19,0,0,0,0,0,2.19,0
108-118,0.77,0,0,1.53,0.77,0.77,0.77,0,0,0,1.53,0,0,0,0,0,2.3,0,0,0.77,0
120,0,0,0,0,1.96,0,1.96,0,0,3.92,3.92,0,0,0,0,0,3.92,0,0,0,0
