stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,2,2,13,5,5,0,0,0,3,2,0,0,0,0,0,0,0,0,8,0,0,9,87,3,0,1,1,0,1,9,0,2,12,25,0,0,1,0,0
 24-34,0,0,0.82,8.21,0,22.16,0.82,0.82,0,2.46,0.82,0.82,0.82,0.82,0,0.82,1.64,0,0,17.24,0,0,6.57,229.84,0,0.82,1.64,0,0,5.75,0,1.64,0,6.57,67.31,0,0,2.46,0,0.82
 36-46,0,0,0,4.03,0,48.34,0,0,0,7.25,0,0,0,0,0,0.81,0,0,0.81,18.53,0,0,8.86,220.75,1.61,4.03,0.81,0,0,2.42,0,0,0,0,55.59,0,0,0,0,0
 48-58,0,0,0,4.59,0,51.07,0,0,0.57,9.18,0,0,0.57,0.57,1.15,0,0,0,0,32.13,0,0.57,2.87,133.12,0,1.15,1.72,0,0,1.72,0,0,0.57,0,26.97,0,0.57,0.57,0,1.15
 60-70,0.98,0,0,0.98,0,73.61,0,0.98,0.98,15.7,0.98,0.98,1.96,0.98,0,0,0,0,0,13.74,0.98,0,1.96,167.84,0,0,1.96,0,0,4.91,0,0,0,0,11.78,0,0,0.98,0,1.96
 72-82,0,1.96,0,0.98,0,47.12,0,0.98,1.96,14.72,0.98,0,0.98,1.96,0,0,0.98,0.98,0,31.41,0,0.98,0,61.84,0,0.98,0.98,0,0.98,0.98,0,0,0,0,7.85,0,0,0,0.98,0
 84-94,0,0,0,2.12,1.06,29.74,0,1.06,1.06,14.87,0,0,0,1.06,0,1.06,1.06,1.06,0,23.36,0,3.19,3.19,47.79,0,1.06,2.12,0,0,6.37,0,0,0,0,5.31,0,0,0,0,0
 96-106,0,0,0,7.65,0,22.95,0,0,1.09,10.93,4.37,0,0,0,1.09,0,0,1.09,0,24.04,1.09,1.09,2.19,49.18,0,2.19,1.09,0,0,13.11,0,1.09,1.09,0,3.28,0,0,2.19,0,0
108-118,0,0.77,0,3.06,0,18.38,0.77,2.3,0,9.19,0.77,0,0,0.77,2.3,0,0.77,0,0,11.49,0,0,1.53,38.3,0,1.53,0,0,0,1.53,0,0.77,0,0,1.53,0.77,0,1.53,0,0
120,0,1.96,0,13.72,0,9.8,0,3.92,0,9.8,0,0,0,1.96,0,0,3.92,0,0,7.84,0,5.88,5.88,43.12,0,0,0,0,0,7.84,0,0,0,0,0,0,0,1.96,0,0
