stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,1,0,0
 24-34,0.82,1.64,1.64,0.82,0,0,0,0,0.82,0,0,0,0,0.82,1.64,0,0,7.39,0,0,2.46,0,2.46,0,0
 36-46,0,0.81,0,2.42,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,4.03,0,0,6.45,0,1.61,0,0
 48-58,0,0,0,2.87,0,0.57,0.57,0,0,0,0,0.57,0.57,0,1.72,0,0,1.72,0,0.57,2.3,1.15,0.57,0.57,0
 60-70,0,0.98,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0.98,0.98,0,2.94,0,0,2.94,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,0.98,0,0.98,0,0,0,0,2.94,0,0,2.94,0,0.98,0.98,1.96,0,0,0
 84-94,0,1.06,0,1.06,0,1.06,0,5.31,0,3.19,0,0,0,0,0,0,0,1.06,0,0,2.12,4.25,0,3.19,0
 96-106,0,3.28,0,1.09,1.09,0,1.09,3.28,0,9.84,5.46,0,0,0,0,0,0,2.19,1.09,6.56,9.84,3.28,0,1.09,1.09
108-118,0,1.53,0,0,0,0,0,2.3,0,3.83,1.53,0,0,0,0,0,0,2.3,0,1.53,6.13,0.77,0,0,0
120,0,3.92,0,0,0,0,0,1.96,0,3.92,1.96,0,0,0,0,0,0,3.92,0,1.96,3.92,0,0,3.92,0
