stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,18.4,0,7.89,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,18.88,0,9.44,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,13,1,1,1,7,0
 24-34,0,0,0.82,0,0,0,0.82,0,0.82,14.78,0,0,0,4.1,0
 36-46,0,0,1.61,0,0,0,0.81,0.81,0,9.67,0,0,0,3.22,0
 48-58,0,0,8.61,0.57,0.57,2.3,2.87,0.57,0,5.74,0,0,0,2.3,0
 60-70,0,0,1.96,0,0,1.96,0.98,0,0,3.93,0,0,0,2.94,0
 72-82,0,0.98,0.98,0,0,0.98,2.94,0.98,0,2.94,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,2.12,0,0,0,0,0
 96-106,0,0,1.09,0,0,1.09,0,0,1.09,4.37,0,0,0,0,0
108-118,0,0,1.53,0,0,0,0,0,0,1.53,0,0,0,0,0
120,0,1.96,1.96,0,0,1.96,3.92,0,0,5.88,0,0,0,0,1.96
