stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,2.3,0,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,2.94,0.98,0,141.34,0.98,0.98,0,3.93,0.98,0,0,0.98,0,0,0,0,0,8.83,0,0,0.98,18.65,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0.98
 72-82,0,0,0.98,31.41,19.63,0.98,732.32,0.98,2.94,4.91,67.73,8.83,0,0.98,5.89,4.91,6.87,6.87,10.8,0,134.49,1.96,3.93,26.5,385.79,1.96,6.87,1.96,0.98,42.21,1.96,0,35.34,3.93,6.87,18.65,4.91,16.69
 84-94,0,0,0,25.49,13.81,0,671.21,0,3.19,3.19,26.55,8.5,1.06,0,2.12,3.19,3.19,1.06,2.12,1.06,66.91,4.25,2.12,4.25,157.18,2.12,6.37,1.06,1.06,29.74,1.06,0,11.68,3.19,3.19,8.5,4.25,4.25
 96-106,1.09,0,2.19,53.55,45.9,3.28,743.14,3.28,7.65,5.46,66.66,13.11,0,7.65,20.76,5.46,5.46,4.37,17.49,2.19,106.01,3.28,7.65,16.39,289.6,1.09,14.21,6.56,2.19,87.43,1.09,1.09,18.58,6.56,5.46,29.51,7.65,7.65
108-118,0,0,3.83,42.89,20.68,6.13,530.05,1.53,12.26,6.13,50.55,7.66,0.77,2.3,8.43,2.3,0.77,2.3,9.96,0,142.47,2.3,5.36,24.51,348.51,1.53,6.13,3.83,2.3,46.72,0,1.53,8.43,3.06,1.53,13.02,3.06,6.13
120,0,0,0,43.12,23.52,3.92,644.77,0,3.92,1.96,43.12,5.88,0,5.88,11.76,7.84,3.92,3.92,5.88,0,105.83,3.92,1.96,21.56,350.8,1.96,9.8,7.84,0,37.24,1.96,0,13.72,1.96,1.96,11.76,3.92,5.88
