stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,lateral.line,melanocytes,mural.cell,neural,otic,periderm,somites,spinal.cord,taste,xanthophores
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,1.64,0.82,0.82,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,5.64,1.61,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,2.3,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,5.89,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,1.96,17.67,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,24.43,0,0,0,0,1.06
 96-106,0,0,1.09,0,0,3.28,0,0,2.19,38.25,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0.77,3.83,22.21,0.77,0,0,0.77,0
120,0,3.92,0,0,0,1.96,0,0,0,19.6,0,0,0,0,0
