stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,31.54,2.63,0,0,21.03,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,18.88,0,0,0,0,0
 14-21,0,0,0,5,2,0,0,0,0,0,0,0,0,3,2,9,0,0,0,0,0,2,6,1,0
 24-34,0,0,0,0,3.28,0,0,0,0,0,0,0,0,4.93,0,16.42,0,0,0,0,0,0,2.46,6.57,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0.81,0,11.28,0,0.81,0.81,0,0,0,0,1.61,0
 48-58,0,0,0,0.57,4.59,0,0.57,0.57,0,0,0,0,0,4.59,1.15,23.53,0,0.57,0,0,0,0,0,1.72,0.57
 60-70,0,0,0,0,11.78,0,0.98,0,0,0,0,0,0.98,0.98,0,14.72,0,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,5.89,0,2.94,0,0,0,0,0,0,0.98,0,14.72,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,0,0,2.12,0,4.25,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,2.19,6.56,0,0,0,0,2.19,0,0,0,0
108-118,0,0,0,0.77,5.36,0,0,0,0,0.77,0.77,0,0,3.83,0,6.89,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,1.96,1.96,1.96,0,0,0,0,1.96,0,3.92,1.96,3.92,0,0,0,0,0,0,0,0,0
