stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,52.71,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,496.5,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,21.03,0,0,0,49.95,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,357.5,15.77,0,0,139.32,5.26,0,0,0,0,0,0,0,0
 10-12,0,12.59,12.59,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.32,6.29,0,0,122.73,0,0,22.03,0,0,0,0,0,0
 14-21,0,0,3,17,5,0,12,0,0,9,0,1,0,0,2,0,0,1,17,0,11,294,1,6,1,5,14,24,2,0,21,76,0,0,1
 24-34,0,0,0,8.21,3.28,0,64.85,0.82,0.82,4.1,0,0,0,0.82,0,0,0,0.82,25.45,0,12.31,476.1,4.1,9.85,0.82,0,4.93,0,3.28,0.82,0.82,89.47,0,0,3.28
 36-46,0,0,0,2.42,0,0,115.21,0,0,8.06,0,0,0.81,0.81,0.81,0.81,0,0,26.59,0,8.06,281.18,0,5.64,0.81,0,2.42,0,0,0,0,52.37,0,0,0.81
 48-58,0,0,0,2.3,0.57,0,126.24,0,0,12.05,0,0,0.57,0,0,0,0.57,0,26.4,2.3,5.74,107.88,0,2.3,1.72,0,3.44,0,0,0,0,20.08,0,0,4.59
 60-70,0,0,0,1.96,0,0,75.58,0,0.98,7.85,2.94,0,0,0,0,0,0,0,10.8,0,1.96,60.85,0,0,0.98,0,0.98,0,0,0,0,5.89,0,0,0.98
 72-82,0,0,0,0.98,0,0,28.47,0,0,3.93,0.98,0,0,0,0,0,0,0,10.8,2.94,1.96,36.32,0,1.96,1.96,0,0.98,0,0,0,0,1.96,0,0.98,7.85
 84-94,0,0,0,5.31,0,0,23.36,0,1.06,3.19,0,0,0,0,0,0,0,0,18.05,1.06,4.25,37.17,0,3.19,1.06,0,1.06,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,16.39,1.09,0,0,2.19,0,0,1.09,0,0,2.19,0,10.93,1.09,2.19,21.86,0,2.19,1.09,0,4.37,0,0,0,0,0,0,0,1.09
108-118,0,0,0,2.3,0,0.77,11.49,0,0,5.36,0,0,0,0.77,0.77,0,0,0,7.66,0,2.3,40.6,0,3.06,0.77,0,0.77,0,1.53,0,0,0,0.77,0,2.3
120,0,0,0,3.92,1.96,0,19.6,0,0,13.72,0,0,0,0,0,0,0,3.92,7.84,0,5.88,23.52,0,0,0,0,0,0,0,0,0,0,0,0,1.96
