stage,axial,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,162,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0
 24-34,0,219.99,0,2.46,10.67,0,0,0,0,1.64,0,0,0,0,0.82,0.82,0,0.82,16.42,0,0,0,0,35.3,0,0.82,0,0,0.82,0
 36-46,0,75.73,0,1.61,14.5,0,0,0,0.81,0,0,0,0,0,2.42,0.81,0,1.61,9.67,0,0,0,0,70.09,0,0,3.22,0,0,0
 48-58,0,44.18,0,3.44,18.36,0,1.15,0,0.57,0,0.57,0,0,0,4.59,0.57,0,0.57,10.9,0.57,0,0,0,60.82,0,0,2.3,0,0,0
 60-70,0.98,71.65,0,0.98,20.61,0,0.98,0,0,0,0,0,0,0,0.98,1.96,0,0,9.82,0,0.98,0.98,0,74.6,0,0,1.96,0,0,0.98
 72-82,0,96.2,0,5.89,25.52,0.98,1.96,0.98,0.98,0,0,0,0,0,4.91,0.98,0.98,0,3.93,0,1.96,0,0,85.4,0,0,0.98,0.98,0.98,0
 84-94,0,201.79,0,3.19,81.78,0,2.12,0,0,1.06,4.25,0,0,1.06,6.37,4.25,0,0,3.19,0,0,1.06,0,277.19,0,0,0,0,1.06,0
 96-106,0,276.49,0,5.46,69.94,1.09,1.09,5.46,0,3.28,4.37,0,0,0,4.37,7.65,2.19,2.19,16.39,0,3.28,2.19,0,327.85,0,0,0,4.37,1.09,0
108-118,0,193.79,0.77,0.77,88.09,0.77,1.53,0.77,0,0,3.06,0.77,0.77,0,6.13,2.3,2.3,0,16.85,0.77,0,0,0,243.58,0,0,1.53,3.06,1.53,0
120,0,117.59,0,3.92,31.36,0,0,0,0,1.96,0,0,1.96,0,3.92,9.8,0,1.96,13.72,0,3.92,1.96,0,141.1,0,0,0,0,0,0
