stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0
 14-21,0,0,5,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,16,1,1,1,0,0
 24-34,0,0.82,1.64,0,0,0,0,0,0,0,0,0.82,0,1.64,1.64,0,5.75,0.82,0,76.34,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,5.64,0,1.61,0.81,0.81,4.03,1.61,1.61,64.45,0,0,0.81,0,0.81
 48-58,0,0,3.44,0,0.57,0,0.57,0.57,1.15,0,0,1.15,0,4.02,0.57,0,4.59,0,0.57,56.81,0,0,0.57,0,0
 60-70,0,0,9.82,0,0.98,0.98,0,0,0,0,0,1.96,0,7.85,0.98,0,2.94,0.98,0.98,75.58,0,0,0,0,0
 72-82,0,0,11.78,0.98,2.94,0,0,0,0,0,0,3.93,0,8.83,0,0,4.91,0,1.96,90.31,0,0,0,0,0.98
 84-94,0,0,30.8,0,2.12,4.25,0,3.19,0,0,2.12,3.19,1.06,7.43,2.12,1.06,2.12,3.19,3.19,228.34,0,0,0,0,0
 96-106,0,0,44.81,0,3.28,3.28,1.09,1.09,0,1.09,2.19,1.09,0,4.37,0,0,2.19,6.56,9.84,190.16,0,0,0,1.09,0
108-118,0,0,36,0.77,0.77,5.36,0.77,0.77,0,0,2.3,2.3,0,2.3,2.3,0,3.06,3.06,8.43,109.53,0,0,0,0,0
120,0,0,21.56,0,1.96,7.84,0,0,0,0,0,0,0,1.96,0,0,3.92,5.88,7.84,84.27,0,0,0,0,0
