stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,7.89,5.26,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,0.82,0,0.82,0,0,0,0,0,0,0.82,0.82,2.46,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0.81,1.61,0,3.22,0,0,0,0,0,0,0
 48-58,0,0,0,3.44,0,0,0,0,0,0,0,0,1.72,0,1.15,4.02,0,0,0,0.57,0,0,0
 60-70,0,0,0,2.94,0,0,0,0,0,0,0,0.98,2.94,0,0,3.93,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,0,0,2.94,0,0.98,0.98,1.96,0,8.83,0,0,0,0,0.98,0,0
 84-94,0,1.06,0,1.06,0,0,0,0,1.06,2.12,0,0,2.12,0,0,4.25,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,0,1.09,9.84,0,0,1.09,0,0,3.28,0,0,1.09,0,0,0,1.09
108-118,0,0.77,0,1.53,0,0,0,0,0.77,6.13,0,2.3,3.06,2.3,0,0.77,0,0,0,0,0,0.77,0
120,0,1.96,0,0,0,0,0,0,0,15.68,0,0,1.96,1.96,1.96,3.92,0,0,0,1.96,0,0,0
