stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,448.05,5785.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,232.93,3058.69,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,104.2,0,0,0,12.26,0,73.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,13.14,0,13.14,0,0,0,21.03,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,341.73,7.89,0,0,107.78,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,22.03,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,62.94,9.44,0,0,44.06,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,29,8,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,6,81,2,2,0,1,0,1,0,12,28,1,10,19,0,0,4,0,0
 24-34,0,0,0,1.64,13.95,0.82,0,17.24,0,1.64,0,0.82,0,0,0.82,0,3.28,0,0.82,0.82,2.46,17.24,0,5.75,62.39,0,0.82,3.28,0,0,13.13,0,0,25.45,0,3.28,12.31,0,0,6.57,0,1.64
 36-46,0,0,0,0,6.45,4.03,0,20.95,0.81,0,0.81,6.45,0,0,0.81,1.61,1.61,0.81,0.81,0,2.42,14.5,0,2.42,55.59,0.81,0,0,0,0,11.28,0,0,16.11,0.81,0,6.45,0,0,4.83,0,0.81
 48-58,0,0,0,0,1.15,0.57,0,36.15,0,1.15,1.72,6.31,0.57,0,0,2.3,1.15,0.57,0.57,0.57,1.72,10.9,2.3,2.3,46.48,0.57,0,0.57,0,0,5.74,0,0,4.59,0,0,5.74,0,0,1.15,0,1.72
 60-70,0,0,0,0,2.94,0,0,44.17,0,0,0.98,11.78,2.94,0,0,2.94,1.96,0,0.98,0,0,18.65,0.98,0.98,53,0,0.98,2.94,0,0,3.93,0,0,11.78,0.98,0,4.91,0,0.98,0.98,0,0.98
 72-82,0,0,0.98,0,6.87,0,0,36.32,0,0.98,0.98,12.76,6.87,0,0,2.94,0.98,0.98,1.96,2.94,0,22.58,0,5.89,45.16,0,2.94,1.96,0,0,4.91,0,0,18.65,0,0,3.93,0.98,1.96,1.96,0,0.98
 84-94,0,0,1.06,0,12.74,0,0,26.55,0,2.12,4.25,9.56,10.62,0,0,12.74,4.25,5.31,1.06,3.19,3.19,16.99,0,4.25,23.36,0,0,2.12,0,0,21.24,0,0,24.43,0,0,6.37,1.06,2.12,3.19,0,1.06
 96-106,0,0,1.09,0,13.11,1.09,0,22.95,0,0,0,8.74,6.56,0,0,5.46,1.09,0,1.09,6.56,0,15.3,1.09,3.28,24.04,0,2.19,2.19,0,0,13.11,0,0,21.86,0,0,1.09,1.09,2.19,1.09,1.09,0
108-118,0,0,0,0,15.32,3.06,1.53,18.38,0,0,0,5.36,6.89,0,0,6.13,5.36,3.06,1.53,12.26,0.77,15.32,0,2.3,32.17,0.77,0.77,1.53,0,0,12.26,0,0,16.85,0,0,1.53,3.06,0.77,5.36,0,0.77
120,0,0,0,0,11.76,3.92,1.96,25.48,0,0,0,5.88,9.8,0,0,13.72,3.92,0,1.96,7.84,0,3.92,1.96,5.88,39.2,0,1.96,1.96,0,1.96,11.76,0,0,17.64,0,0,0,0,0,1.96,0,0
