stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0,6.57,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,16.92,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,0.57,0,28.12,0,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,0,5.89,0,0,0,0,0,0.98,2.94,0,0,49.08,0,0,0,0.98,2.94,1.96,0,1.96,0
 72-82,0,0,0.98,9.82,0,3.93,0.98,0,0,0.98,8.83,1.96,0,106.02,0.98,0,0,0,1.96,0.98,0.98,3.93,0
 84-94,0,0,0,6.37,0,3.19,0,2.12,0,1.06,7.43,2.12,0,55.23,0,0,0,0,1.06,1.06,0,3.19,0
 96-106,0,1.09,0,12.02,1.09,1.09,0,0,1.09,1.09,15.3,2.19,0,50.27,0,0,0,0,1.09,0,0,10.93,0
108-118,0,0,0,9.96,0,3.83,0.77,0,0,2.3,26.04,0.77,0,76.6,0,0,0,0,0,0,0,0.77,0
120,0,1.96,0,3.92,0,0,0,0,0,0,9.8,0,1.96,56.83,0,1.96,0,0,1.96,0,0,1.96,0
