stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,otic,periderm,somites,spinal.cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0.82,0,4.1,0,0,0,0.82,0
 36-46,0,0.81,0,1.61,0,0,0.81,0,0,0,0,7.25,0,0,0,1.61,0
 48-58,0,0,0,2.3,0,0,0,0,0,1.15,1.15,4.59,0.57,1.15,0,1.15,0
 60-70,0,0,0,0.98,0,0,0,0,1.96,0.98,0,2.94,3.93,0,0,0.98,0
 72-82,0,0,0,1.96,0,0.98,0,0,2.94,0,0.98,2.94,10.8,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,4.25,1.06,0,0,19.12,1.06,0,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,13.11,0,0,1.09,31.69,0,0,0,2.19
108-118,0,1.53,0,2.3,0,0,0,0,4.6,0.77,0,0,13.79,0,0,0,0
120,0,3.92,1.96,3.92,0,0,0,0,3.92,0,0,0,15.68,0,0,0,0
