stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,9.44,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,25,6,0,10,0,0,0,3,0,1,0,0,0,0,0,5,7,0,0,5,53,4,0,1,2,0,6,0,8,2,0,8,17,0,0,0,0,1
 24-34,0,0,0,17.24,0,0,12.31,0,0,1.64,0.82,1.64,1.64,0.82,0,0.82,0.82,0,9.85,22.98,0,0,7.39,31.19,2.46,0,0.82,0,0,9.03,0,0,0.82,0,0.82,6.57,0,0,3.28,0,5.75
 36-46,0,0,0,4.03,0,0,4.03,0,0.81,0,8.06,0,0.81,1.61,1.61,0.81,0,0.81,2.42,17.72,0,0,3.22,39.48,1.61,0,2.42,0,0.81,11.28,0,0,0,0,0,4.03,0,0,2.42,0,1.61
 48-58,0,0,0,1.72,0,0,3.44,0,2.3,1.72,6.89,0,0,0.57,0,0,1.72,0,1.72,23.53,0,0,5.16,20.08,2.3,0,0.57,0,0,6.89,0,0,0,0,0,2.87,0,0,0.57,0,3.44
 60-70,0,0,0,2.94,0,0,17.67,0,2.94,2.94,29.45,0,0,3.93,0.98,1.96,1.96,0,0.98,44.17,0,1.96,3.93,20.61,2.94,0,0,0,0,2.94,0,0,0,0,0,6.87,0,0.98,4.91,0.98,2.94
 72-82,0,0,0,9.82,13.74,0,18.65,0,1.96,2.94,33.38,0,1.96,1.96,0,4.91,1.96,0,2.94,59.88,0,2.94,9.82,13.74,0,0.98,2.94,0,0,11.78,0,0,0.98,0,0,6.87,0,2.94,5.89,2.94,8.83
 84-94,0,0,0,13.81,6.37,1.06,15.93,1.06,5.31,1.06,23.36,2.12,3.19,9.56,2.12,5.31,2.12,0,7.43,35.05,1.06,5.31,1.06,16.99,2.12,0,2.12,0,1.06,27.61,0,0,3.19,0,0,3.19,2.12,1.06,7.43,2.12,9.56
 96-106,0,0,0,16.39,15.3,0,14.21,0,4.37,1.09,25.14,7.65,0,4.37,1.09,5.46,3.28,0,2.19,44.81,0,1.09,9.84,10.93,1.09,0,4.37,0,1.09,29.51,0,0,0,0,0,0,0,2.19,4.37,2.19,12.02
108-118,0,0,0,23.74,9.96,0.77,10.72,0.77,2.3,1.53,26.04,5.36,0.77,6.13,5.36,4.6,1.53,0.77,10.72,23.74,1.53,1.53,3.83,9.19,2.3,0,1.53,0,0.77,21.45,0,0,0,0,0,0.77,3.06,1.53,5.36,0.77,13.79
120,0,0,0,29.4,21.56,0,7.84,0,1.96,0,33.32,9.8,0,11.76,1.96,3.92,0,3.92,0,23.52,0,1.96,9.8,17.64,1.96,0,1.96,0,1.96,5.88,0,0,0,3.92,0,1.96,0,3.92,3.92,1.96,1.96
